FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL	label_salary	label_comp	id
1061.0	Alaska Pacific University	AK	IIB	454	382	362.0	382.0	567	485	471.0	487.0	6.0	11.0	9.0	4.0	32.0	http://dbpedia.org/resource/Alaska_Pacific_University	medium	medium	1.0
1063.0	University of Alaska-Fairbanks	AK	I	686	560	432.0	508.0	914	753	572.0	677.0	74.0	125.0	118.0	40.0	404.0	http://dbpedia.org/resource/University_of_Alaska_Fairbanks	high	high	2.0
11462.0	University of Alaska-Anchorage	AK	IIA	612	507	414.0	498.0	825	681	557.0	670.0	115.0	124.0	101.0	21.0	392.0	http://dbpedia.org/resource/University_of_Alaska_Anchorage	medium	high	4.0
1004.0	University of Montevallo	AL	IIA	441	385	310.0	388.0	542	473	383.0	477.0	57.0	33.0	35.0	2.0	127.0	http://dbpedia.org/resource/University_of_Montevallo	medium	medium	5.0
1016.0	University of North Alabama	AL	IIB	506	412	359.0	411.0	607	508	445.0	503.0	67.0	40.0	66.0	27.0	200.0	http://dbpedia.org/resource/University_of_North_Alabama	medium	medium	9.0
1019.0	Huntingdon College	AL	IIB	339	303	287.0	301.0	421	371	347.0	366.0	8.0	15.0	19.0	2.0	44.0	http://dbpedia.org/resource/Huntingdon_College	low	low	10.0
1024.0	Livingston University	AL	IIB	360	304	258.0	300.0	433	369	313.0	363.0	27.0	25.0	33.0	4.0	89.0	http://dbpedia.org/resource/University_of_West_Alabama	low	low	11.0
1029.0	University of Mobile	AL	IIB	354	321	277.0	291.0	436	401	346.0	363.0	17.0	19.0	31.0	19.0	86.0	http://dbpedia.org/resource/University_of_Mobile	low	low	12.0
1041.0	Spring Hill College	AL	IIB	431	352	311.0	373.0	518	425	374.0	449.0	23.0	17.0	14.0	1.0	55.0	http://dbpedia.org/resource/Spring_Hill_College	medium	medium	15.0
1047.0	Troy State University	AL	IIA	462	385	322.0	350.0	560	467	392.0	426.0	25.0	59.0	100.0	19.0	204.0	http://dbpedia.org/resource/Troy_University	medium	low	17.0
