FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	DBpedia_URL	label_salary	label_comp	id
1065.0	University of Alaska-Southeast	AK	IIA	533	494	329.0	415.0	716	663	442.0	559.0	9.0	26.0	20.0	9.0	70.0	http://dbpedia.org/resource/University_of_Alaska_Southeast	medium	medium	3.0
1008.0	Athens State College	AL	IIB	466	394	351.0	396.0	558	476	427.0	478.0	20.0	18.0	30.0	0.0	68.0	http://dbpedia.org/resource/Athens_State_University	medium	medium	6.0
1009.0	Auburn University	AL	I	580	437	374.0	455.0	692	527	451.0	546.0	366.0	354.0	301.0	66.0	1109.0	http://dbpedia.org/resource/Auburn_University	medium	medium	7.0
1012.0	Birmingham Southern College	AL	IIB	498	379	322.0	401.0	655	501	404.0	523.0	34.0	25.0	27.0	3.0	89.0	http://dbpedia.org/resource/Birmingham%E2%80%93Southern_College	medium	medium	8.0
1033.0	Oakwood College	AL	IIB	301	290	283.0	290.0	375	363	355.0	362.0	18.0	28.0	28.0	3.0	77.0	http://dbpedia.org/resource/Oakwood_University	low	low	13.0
1036.0	Samford University	AL	IIA	565	425	363.0	449.0	710	556	476.0	578.0	83.0	46.0	77.0	9.0	215.0	http://dbpedia.org/resource/Samford_University	medium	medium	14.0
1044.0	Stillman College	AL	IIB	321	288	251.0	272.0	388	354	312.0	335.0	13.0	18.0	18.0	10.0	59.0	http://dbpedia.org/resource/Stillman_College	low	low	16.0
1050.0	Tuskegee University	AL	IIA	410	352	306.0	327.0	487	415	362.0	387.0	57.0	65.0	85.0	45.0	254.0	http://dbpedia.org/resource/Tuskegee_University	low	low	18.0
1055.0	University of Alabama in Huntsville	AL	IIA	636	443	375.0	451.0	771	540	455.0	548.0	72.0	87.0	98.0	7.0	282.0	http://dbpedia.org/resource/University_of_Alabama_in_Huntsville	medium	medium	21.0
1057.0	University of South Alabama	AL	IIA	542	426	370.0	418.0	645	514	450.0	504.0	119.0	103.0	142.0	64.0	434.0	http://dbpedia.org/resource/University_of_South_Alabama	medium	medium	22.0
1086.0	University of Arkansas at Pine Bluff	AR	IIB	406	366	332.0	335.0	505	457	415.0	419.0	40.0	33.0	71.0	46.0	192.0	http://dbpedia.org/resource/University_of_Arkansas_at_Pine_Bluff	low	low	25.0
1088.0	Arkansas College	AR	IIB	499	*	330.0	399.0	618	*	402.0	488.0	14.0	5.0	21.0	2.0	42.0	http://dbpedia.org/resource/Lyon_College	medium	medium	26.0
1089.0	Arkansas Tech University	AR	IIB	439	381	337.0	374.0	550	479	427.0	471.0	44.0	71.0	52.0	13.0	180.0	http://dbpedia.org/resource/Arkansas_Tech_University	medium	medium	27.0
1094.0	University of the Ozarks	AR	IIB	309	280	274.0	285.0	428	383	376.0	391.0	14.0	9.0	15.0	2.0	40.0	http://dbpedia.org/resource/University_of_the_Ozarks	low	low	30.0
1098.0	Henderson State University	AR	IIB	447	375	341.0	375.0	561	480	435.0	477.0	55.0	42.0	33.0	25.0	155.0	http://dbpedia.org/resource/Henderson_State_University	medium	medium	31.0
1100.0	John Brown University	AR	IIB	372	338	304.0	341.0	478	414	375.0	426.0	23.0	22.0	10.0	3.0	58.0	http://dbpedia.org/resource/John_Brown_University	low	low	33.0
1101.0	University of Arkansas at Little Rock	AR	IIA	536	416	372.0	415.0	651	506	450.0	504.0	128.0	117.0	72.0	63.0	398.0	http://dbpedia.org/resource/University_of_Arkansas_at_Little_Rock	medium	medium	34.0
