id	album	artist	date	rating	DBpedia_URL label
1.0	Van Lear Rose	Loretta Lynn	27-Apr-04	97.0	http://dbpedia.org/resource/Van_Lear_Rose	good
2.0	Histoire de Melody Nelson	Serge Gainsbourg	24-Mar-09	96.0	http://dbpedia.org/resource/Histoire_de_Melody_Nelson	good
3.0	Stankonia	Outkast	31-Oct-00	95.0	http://dbpedia.org/resource/Stankonia	good
4.0	My Beautiful Dark Twisted Fantasy	Kanye West	22-Nov-10	94.0	http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy	good
5.0	Savane	Ali Farka Toure	25-Jul-06	94.0	http://dbpedia.org/resource/Savane_(album)	good
6.0	Dolly	Dolly Parton	26-Oct-09	93.0	http://dbpedia.org/resource/Little_Sparrow	good
7.0	Live At Reading	Nirvana	3-Nov-09	93.0	http://dbpedia.org/resource/Live_at_Reading	good
8.0	Madvillainy	Madvillain	23-Mar-04	93.0	http://dbpedia.org/resource/Madvillainy	good
9.0	On the Impossible Past	The Menzingers	21-Feb-12	93.0	http://dbpedia.org/resource/On_the_Impossible_Past	good
10.0	Boy In Da Corner	Dizzee Rascal	20-Jan-04	92.0	http://dbpedia.org/resource/Boy_in_da_Corner	good
11.0	Elephant	The White Stripes	1-Apr-03	92.0	http://dbpedia.org/resource/Elephant_(album)	good
12.0	Labor Days	Aesop Rock	18-Sep-01	92.0	http://dbpedia.org/resource/Labor_Days	good
13.0	Lost In The Sound Of Separation	Underoath	2-Sep-08	92.0	http://dbpedia.org/resource/Lost_in_the_Sound_of_Separation	good
14.0	Orphans: Brawlers, Bawlers & Bastards	Tom Waits	21-Nov-06	92.0	http://dbpedia.org/resource/Orphans:_Brawlers,_Bawlers_&_Bastards	good
15.0	Pull Up Some Dust and Sit Down	Ry Cooder	29-Aug-11	92.0	http://dbpedia.org/resource/Pull_Up_Some_Dust_and_Sit_Down	good
16.0	A Grand Don't Come For Free	The Streets	18-May-04	91.0	http://dbpedia.org/resource/A_Grand_Don't_Come_for_Free	good
