id	label   album	artist	date	rating	DBpedia_URL
1.0	good	Van Lear Rose	Loretta Lynn	27-Apr-04	97.0	http://dbpedia.org/resource/Van_Lear_Rose
3.0	good	Stankonia	Outkast	31-Oct-00	95.0	http://dbpedia.org/resource/Stankonia
5.0	good	Savane	Ali Farka Toure	25-Jul-06	94.0	http://dbpedia.org/resource/Savane_(album)
6.0	good	Dolly	Dolly Parton	26-Oct-09	93.0	http://dbpedia.org/resource/Little_Sparrow
8.0	good	Madvillainy	Madvillain	23-Mar-04	93.0	http://dbpedia.org/resource/Madvillainy
9.0	good	On the Impossible Past	The Menzingers	21-Feb-12	93.0	http://dbpedia.org/resource/On_the_Impossible_Past
10.0	good	Boy In Da Corner	Dizzee Rascal	20-Jan-04	92.0	http://dbpedia.org/resource/Boy_in_da_Corner
11.0	good	Elephant	The White Stripes	1-Apr-03	92.0	http://dbpedia.org/resource/Elephant_(album)
13.0	good	Lost In The Sound Of Separation	Underoath	2-Sep-08	92.0	http://dbpedia.org/resource/Lost_in_the_Sound_of_Separation
14.0	good	Orphans: Brawlers, Bawlers & Bastards	Tom Waits	21-Nov-06	92.0	http://dbpedia.org/resource/Orphans:_Brawlers,_Bawlers_&_Bastards
15.0	good	Pull Up Some Dust and Sit Down	Ry Cooder	29-Aug-11	92.0	http://dbpedia.org/resource/Pull_Up_Some_Dust_and_Sit_Down
20.0	good	Unto the Locust	Machine Head	20-Sep-11	91.0	http://dbpedia.org/resource/Unto_the_Locust
21.0	good	From Here We Go Sublime	The Field	3-Apr-07	90.0	http://dbpedia.org/resource/From_Here_We_Go_Sublime
22.0	good	Funeral	Arcade Fire	14-Sep-04	90.0	http://dbpedia.org/resource/Funeral_(album)
23.0	good	Illinois	Sufjan Stevens	5-Jul-05	90.0	http://dbpedia.org/resource/Illinois_(album)
25.0	good	Sir Lucious Left Foot: The Son of Chico Dusty	Big Boi	6-Jul-10	90.0	http://dbpedia.org/resource/Sir_Lucious_Left_Foot:_The_Son_of_Chico_Dusty
26.0	good	Untrue	Burial	6-Nov-07	90.0	http://dbpedia.org/resource/Untrue
27.0	good	What Were You Hoping For?	Van Hunt	27-Sep-11	90.0	http://dbpedia.org/resource/What_Were_You_Hoping_For%3F
31.0	good	HoboSapiens	John Cale	7-Sep-04	89.0	http://dbpedia.org/resource/HoboSapiens
32.0	good	I Was Trying To Describe You To Someone	Crime In Stereo	23-Feb-10	89.0	http://dbpedia.org/resource/I_Was_Trying_to_Describe_You_to_Someone
