Dataset,Method,depth,NB_acc,NN_acc,DT_acc,SVC_acc,LR_acc,Extra_acc,Random_acc,NB_weighted_F1,NN_weighted_F1,DT_weighted_F1,SVC_weighted_F1,LR_weighted_F1,Extra_weighted_F1,Random_weighted_F1,NB_weighted_precision,NN_weighted_precision,DT_weighted_precision,SVC_weighted_precision,LR_weighted_precision,Extra_weighted_precision,Random_weighted_precision,NB_weighted_recall,NN_weighted_recall,DT_weighted_recall,SVC_weighted_recall,LR_weighted_recall,Extra_weighted_recall,Random_weighted_recall,Create_time,NB_Train_time,NN_Train_time,DT_Train_time,SVC_Train_time,LR_Train_time,Extra_Train_time,Random_Train_time,NB_Test_time,NN_Test_time,DT_Test_time,SVC_Test_time,LR_Test_time,Extra_Test_time,Random_Test_time,Memory
cities,INK,1,0.6470588235294118,0.6764705882352942,0.7058823529411765,0.7352941176470589,0.6764705882352942,0.7352941176470589,0.6764705882352942,0.6161764705882353,0.6551641933369092,0.6919321088119041,0.7268542199488489,0.6661551577152601,0.7268542199488489,0.6661551577152601,0.6302521008403361,0.6665723981900453,0.6996078431372549,0.7308823529411765,0.6669117647058824,0.7308823529411765,0.6669117647058824,0.6470588235294118,0.6764705882352942,0.7058823529411765,0.7352941176470589,0.6764705882352942,0.7352941176470589,0.6764705882352942,2.144589900970459,0.0022411346435546875,0.001744985580444336,0.0022792816162109375,0.8388321399688721,0.6133935451507568,0.17923855781555176,0.18741750717163086,0.015633583068847656,0.009789705276489258,0.00890350341796875,0.00991058349609375,0.00885915756225586,0.02309393882751465,0.022989988327026367,256120888
cities,INK,2,0.6764705882352942,0.7352941176470589,0.7058823529411765,0.7352941176470589,0.7941176470588235,0.7058823529411765,0.7352941176470589,0.6661551577152601,0.7388048057419254,0.7090336134453783,0.7268542199488489,0.792393980848153,0.7003119429590018,0.7268542199488489,0.6669117647058824,0.7536764705882353,0.7170278637770897,0.7308823529411765,0.7921122994652406,0.6998372471518252,0.7308823529411765,0.6764705882352942,0.7352941176470589,0.7058823529411765,0.7352941176470589,0.7941176470588235,0.7058823529411765,0.7352941176470589,14.804236650466919,0.006554841995239258,0.00357818603515625,0.007667064666748047,0.961327075958252,0.6465256214141846,0.1995999813079834,0.20964813232421875,0.05479145050048828,0.03836417198181152,0.037665367126464844,0.04154562950134277,0.03783845901489258,0.05205798149108887,0.051850318908691406,1702477120
cities,INK,3,0.7352941176470589,0.6764705882352942,0.7352941176470589,0.8235294117647058,0.7941176470588235,0.8235294117647058,0.8529411764705882,0.7368983957219254,0.6551641933369092,0.7369679579148732,0.8201871657754012,0.792393980848153,0.8201871657754012,0.8482523444160274,0.8029411764705883,0.6665723981900453,0.7399159663865547,0.8230644036270636,0.7921122994652406,0.8230644036270636,0.8588235294117648,0.7352941176470589,0.6764705882352942,0.7352941176470589,0.8235294117647058,0.7941176470588235,0.8235294117647058,0.8529411764705882,106.72797966003418,0.033286333084106445,0.015617847442626953,0.03822827339172363,1.6585359573364258,1.7122714519500732,0.282865047454834,0.32036256790161133,0.30887484550476074,0.5219907760620117,0.22352933883666992,0.25907063484191895,0.2271101474761963,0.23633861541748047,0.23647499084472656,12351770168
cities,INK,4,0.7647058823529411,0.6764705882352942,0.7352941176470589,0.7647058823529411,0.7941176470588235,0.7941176470588235,0.8529411764705882,0.7671568627450979,0.6551641933369092,0.7369679579148732,0.7602495543672015,0.792393980848153,0.792393980848153,0.8517099863201094,0.8179566563467492,0.6665723981900453,0.7399159663865547,0.7614508253894444,0.7921122994652406,0.7921122994652406,0.8520499108734403,0.7647058823529411,0.6764705882352942,0.7352941176470589,0.7647058823529411,0.7941176470588235,0.7941176470588235,0.8529411764705882,860.7538111209869,0.21832275390625,0.09723639488220215,0.26479673385620117,5.225247621536255,18.038185834884644,0.966651201248169,1.0894954204559326,1.9065866470336914,1.4342677593231201,3.0172863006591797,1.5645852088928223,1.3852994441986084,2.6821775436401367,1.4311769008636475,93933296184
albums,INK,1,0.5395833333333333,0.5458333333333333,0.5375,0.56875,0.5395833333333333,0.5479166666666667,0.5666666666666667,0.5394853940291121,0.5444968745102818,0.5351677688401878,0.5655804721076955,0.5387003770237303,0.5464817064409524,0.5651870949759598,0.5396170353251899,0.5463776263087625,0.5382680178584084,0.570816717037143,0.5398887314333701,0.5485308856886638,0.5675865953252603,0.5395833333333333,0.5458333333333333,0.5375,0.56875,0.5395833333333333,0.5479166666666667,0.5666666666666667,4.025107383728027,0.003915309906005859,0.0017054080963134766,0.0025818347930908203,1.2019498348236084,0.21881890296936035,0.21480965614318848,0.23473644256591797,0.053737640380859375,0.0019266605377197266,0.0016467571258544922,0.028940916061401367,0.0016360282897949219,0.023894786834716797,0.02292346954345703,4635490792
albums,INK,2,0.6729166666666667,0.6604166666666667,0.65,0.7354166666666667,0.70625,0.71875,0.7291666666666666,0.6729038894748491,0.6602972399150744,0.6498480243161093,0.7354155182965204,0.7062487250378692,0.7187194791101466,0.7290490664350847,0.6729436891180913,0.6606425702811246,0.6502608695652173,0.7354207538325319,0.7062535807913333,0.7188449848024318,0.7295652173913043,0.6729166666666667,0.6604166666666667,0.65,0.7354166666666667,0.70625,0.71875,0.7291666666666666,30.946823596954346,0.06851744651794434,0.012930631637573242,0.07918214797973633,6.137203216552734,2.8167829513549805,0.5146324634552002,0.4480018615722656,0.7839999198913574,0.04368090629577637,0.03205537796020508,0.38585615158081055,0.03250718116760254,0.08118510246276855,0.06435632705688477,33306257928
albums,INK,3,0.6625,0.6458333333333334,0.6854166666666667,0.725,0.74375,0.7166666666666667,0.7145833333333333,0.6603714250773075,0.6458271844997311,0.6854153012816897,0.7246941045606228,0.7436598804267125,0.716646989374262,0.7145226198280016,0.6666785383574328,0.6458434613514827,0.6854198857619056,0.7260044642857143,0.7440932561414489,0.716726868574604,0.7147660336049765,0.6625,0.6458333333333334,0.6854166666666667,0.725,0.74375,0.7166666666666667,0.7145833333333333,254.8373987674713,1.150970697402954,0.2750074863433838,1.3405935764312744,78.4312219619751,21.878846883773804,2.0689899921417236,1.629713535308838,11.855841159820557,0.6142661571502686,0.4998960494995117,6.130439281463623,0.5237410068511963,0.5572283267974854,0.5262584686279297,250857357104
albums,INK,4,0.6479166666666667,0.6666666666666666,0.6645833333333333,0.73125,0.73125,0.7270833333333333,0.7270833333333333,0.6438965930491354,0.6659649611162337,0.6645469343461748,0.7308282508618104,0.7309124726762302,0.727053716766142,0.726816552623004,0.654911907489227,0.6680789971286506,0.6646547980894486,0.7327084680025856,0.7324161155799062,0.727181936604429,0.7279738562091503,0.6479166666666667,0.6666666666666666,0.6645833333333333,0.73125,0.73125,0.7270833333333333,0.7270833333333333,2526.1086933612823,16.761096954345703,4.235176086425781,15.832669734954834,974.4634175300598,242.36553192138672,11.170735597610474,9.680028200149536,145.7701015472412,7.778451204299927,6.4148454666137695,77.3710412979126,7.219897985458374,6.384171009063721,6.5419840812683105,1926344012376
movies,INK,1,0.6425,0.6425,0.665,0.6775,0.6575,0.6825,0.7025,0.6348300489311073,0.6424664824896402,0.6645302483974359,0.6710592451027233,0.6525011249057298,0.6821126377235955,0.7014273128029547,0.6566154874986352,0.6426338035214085,0.6656951602765556,0.693642578125,0.6679769736842105,0.6836512662044015,0.7058989448051949,0.6425,0.6425,0.665,0.6775,0.6575,0.6825,0.7025,5.643401384353638,0.0077283382415771484,0.002402782440185547,0.0056133270263671875,1.954341173171997,0.26910877227783203,0.3329033851623535,0.2917141914367676,0.0773160457611084,0.0028781890869140625,0.0025310516357421875,0.03438997268676758,0.0026564598083496094,0.033795833587646484,0.03249859809875488,7615175000
movies,INK,2,0.6925,0.6675,0.75,0.7775,0.7925,0.79,0.8025,0.6920090350695944,0.6647880648716737,0.7498749499799919,0.7774123637864097,0.7923715443443242,0.789968496849685,0.8025012343827149,0.6934737318840581,0.6737425072343943,0.7506888950124001,0.7781129807692306,0.7934442355889725,0.7902926829268293,0.8025125,0.6925,0.6675,0.75,0.7775,0.7925,0.79,0.8025,46.81224966049194,0.14832210540771484,0.03971099853515625,0.13171839714050293,13.776665687561035,5.307217359542847,0.7093088626861572,0.5842409133911133,1.112605094909668,0.05322623252868652,0.04354739189147949,0.5062656402587891,0.04646182060241699,0.09488368034362793,0.06971597671508789,59922633896
