Dataset,Method,depth,NB_acc,NN_acc,DT_acc,SVC_acc,LR_acc,Extra_acc,Random_acc,NB_weighted_F1,NN_weighted_F1,DT_weighted_F1,SVC_weighted_F1,LR_weighted_F1,Extra_weighted_F1,Random_weighted_F1,NB_weighted_precision,NN_weighted_precision,DT_weighted_precision,SVC_weighted_precision,LR_weighted_precision,Extra_weighted_precision,Random_weighted_precision,NB_weighted_recall,NN_weighted_recall,DT_weighted_recall,SVC_weighted_recall,LR_weighted_recall,Extra_weighted_recall,Random_weighted_recall,Create_time,NB_Train_time,NN_Train_time,DT_Train_time,SVC_Train_time,LR_Train_time,Extra_Train_time,Random_Train_time,NB_Test_time,NN_Test_time,DT_Test_time,SVC_Test_time,LR_Test_time,Extra_Test_time,Random_Test_time,Memory
cities,RDF2Vec,1,0.6176470588235294,0.5,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.5294117647058824,0.4411764705882353,0.59246677394362,0.5065387968613775,0.5297693545503308,0.59246677394362,0.59246677394362,0.534453781512605,0.44858792323295366,0.5950226244343892,0.5347222222222223,0.5234728506787331,0.5950226244343892,0.5950226244343892,0.5430340557275541,0.46262254901960786,0.6176470588235294,0.5,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.5294117647058824,0.4411764705882353,69.66886353492737,0.0062177181243896484,0.002439737319946289,0.03128552436828613,0.9347071647644043,0.29248476028442383,0.23108601570129395,0.2549455165863037,0.005855083465576172,0.0007348060607910156,0.0002541542053222656,0.002572298049926758,0.0004279613494873047,0.014594078063964844,0.014339923858642578,17731568
cities,RDF2Vec,2,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.5294117647058824,0.5588235294117647,0.6176470588235294,0.5294117647058824,0.5646746762365423,0.5297693545503308,0.59246677394362,0.5204991087344029,0.5447570332480818,0.59246677394362,0.5070913740990468,0.5790441176470589,0.5234728506787331,0.5950226244343892,0.5149965124389677,0.5389705882352941,0.5950226244343892,0.4980392156862745,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.5294117647058824,0.5588235294117647,0.6176470588235294,0.5294117647058824,111.57467341423035,0.00485682487487793,0.002092123031616211,0.029318571090698242,0.9378738403320312,0.8262155055999756,0.21334528923034668,0.2599501609802246,0.007971525192260742,0.0007526874542236328,0.00023889541625976562,0.002785921096801758,0.0004258155822753906,0.02018594741821289,0.01976609230041504,55729568
cities,RDF2Vec,3,0.7058823529411765,0.5294117647058824,0.6764705882352942,0.7352941176470589,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.7058823529411765,0.5204991087344029,0.6785163930070673,0.7388048057419254,0.7003119429590018,0.7058823529411765,0.6470588235294118,0.7058823529411765,0.5149965124389677,0.6817226890756302,0.7536764705882353,0.6998372471518252,0.7058823529411765,0.6470588235294118,0.7058823529411765,0.5294117647058824,0.6764705882352942,0.7352941176470589,0.7058823529411765,0.7058823529411765,0.6470588235294118,165.1138904094696,0.005468845367431641,0.0024461746215820312,0.03275346755981445,0.9404733180999756,0.896681547164917,0.19716477394104004,0.24925923347473145,0.008444070816040039,0.0007297992706298828,0.00023102760314941406,0.0022635459899902344,0.00040912628173828125,0.01459360122680664,0.014159202575683594,59903568
cities,RDF2Vec,4,0.6176470588235294,0.4117647058823529,0.6470588235294118,0.6764705882352942,0.6176470588235294,0.6764705882352942,0.6176470588235294,0.6200648280992614,0.4180672268907563,0.6508403361344538,0.6737619699042408,0.6200648280992614,0.6737619699042408,0.6144459644322846,0.6235294117647059,0.42703818369453045,0.6590299277605779,0.6722370766488415,0.6235294117647059,0.6722370766488415,0.6122994652406417,0.6176470588235294,0.4117647058823529,0.6470588235294118,0.6764705882352942,0.6176470588235294,0.6764705882352942,0.6176470588235294,204.84999299049377,0.005008220672607422,0.0022270679473876953,0.028836965560913086,0.9455735683441162,0.9492497444152832,0.19310927391052246,0.253035306930542,0.008313417434692383,0.0007221698760986328,0.00022721290588378906,0.0026483535766601562,0.0003998279571533203,0.014862298965454102,0.014445781707763672,57561568
albums,RDF2Vec,1,0.5083333333333333,0.49166666666666664,0.49166666666666664,0.5104166666666666,0.5208333333333334,0.5291666666666667,0.5395833333333333,0.5041669584704811,0.4913487596414426,0.49158722717091213,0.4981648314981649,0.5194233079695636,0.5291584923349365,0.5394853940291121,0.5086231675768899,0.4916457811194653,0.4916614550760892,0.5115440115440115,0.5210807392312556,0.5291686922702966,0.5396170353251899,0.5083333333333333,0.49166666666666664,0.49166666666666664,0.5104166666666666,0.5208333333333334,0.5291666666666667,0.5395833333333333,958.9786071777344,0.0563654899597168,0.00870370864868164,0.6529402732849121,4.9719178676605225,1.1721007823944092,0.635047197341919,1.895603895187378,0.2549288272857666,0.0045566558837890625,0.0009202957153320312,0.32569169998168945,0.0020711421966552734,0.03945755958557129,0.03315877914428711,41760704
albums,RDF2Vec,2,0.675,0.7083333333333334,0.625,0.7520833333333333,0.7166666666666667,0.7333333333333333,0.7020833333333333,0.6737254901960784,0.7080850028670223,0.6249934894703034,0.752082257301464,0.7165436387320886,0.7332916601552327,0.7020199608423667,0.6777777777777778,0.7090446658769423,0.6250086811584138,0.7520877098560739,0.7170434782608696,0.7334792578695019,0.702255390870706,0.675,0.7083333333333334,0.625,0.7520833333333333,0.7166666666666667,0.7333333333333333,0.7020833333333333,4016.2139070034027,0.0562891960144043,0.009511947631835938,0.606508731842041,4.421627998352051,4.794440031051636,0.5050504207611084,1.7109191417694092,0.5882148742675781,0.004285335540771484,0.0008625984191894531,0.21411371231079102,0.0012664794921875,0.03378415107727051,0.03162097930908203,182320704
albums,RDF2Vec,3,0.6875,0.7104166666666667,0.6354166666666666,0.7375,0.6958333333333333,0.7291666666666666,0.7166666666666667,0.6874782971039657,0.7103852414541509,0.6348445263629211,0.7374817695673312,0.6955743601327519,0.7291243423451582,0.7164894725870335,0.6875520978049459,0.7105080330004342,0.6362707245060186,0.7375659905529314,0.6965019859243259,0.7293099854075464,0.7172096908939015,0.6875,0.7104166666666667,0.6354166666666666,0.7375,0.6958333333333333,0.7291666666666666,0.7166666666666667,7234.146815538406,0.055005788803100586,0.0065577030181884766,0.7555685043334961,4.487616062164307,4.091158151626587,0.506727933883667,1.7164180278778076,0.6076011657714844,0.004232168197631836,0.0008504390716552734,0.2104048728942871,0.0013592243194580078,0.03344583511352539,0.0311739444732666,211534704
albums,RDF2Vec,4,0.6958333333333333,0.6854166666666667,0.6145833333333334,0.7208333333333333,0.7104166666666667,0.7229166666666667,0.7041666666666667,0.6958280525703572,0.6853060320685658,0.6145415084102007,0.720813945412876,0.710415409789105,0.722819220298803,0.7034252297410194,0.6958469338148483,0.6856777760392219,0.6146330872774642,0.7208946929702694,0.7104203197972188,0.7232305846763677,0.7062289562289562,0.6958333333333333,0.6854166666666667,0.6145833333333334,0.7208333333333333,0.7104166666666667,0.7229166666666667,0.7041666666666667,8919.1141974926,0.055048465728759766,0.0066182613372802734,0.7727553844451904,4.5459418296813965,4.470957517623901,0.5025644302368164,1.747898817062378,0.6089279651641846,0.004376649856567383,0.0008690357208251953,0.22252225875854492,0.0012836456298828125,0.033325910568237305,0.03110337257385254,211370704
movies,RDF2Vec,1,0.55,0.5275,0.525,0.59,0.59,0.5275,0.525,0.5498649459783913,0.52731389613069,0.5249762476247625,0.5864658735759654,0.5881265848208682,0.52731389613069,0.5249287428742874,0.5499774724036945,0.5276622596153847,0.524978745217674,0.5937674406564676,0.5920890733620229,0.5276622596153847,0.525093808630394,0.55,0.5275,0.525,0.59,0.59,0.5275,0.525,1600.9709079265594,0.07929229736328125,0.011114120483398438,0.8974275588989258,8.760570049285889,2.0117709636688232,0.7532994747161865,2.5712549686431885,0.30516958236694336,0.0037703514099121094,0.0007979869842529297,0.32964301109313965,0.0011584758758544922,0.03353118896484375,0.030894041061401367,55822688
movies,RDF2Vec,2,0.705,0.6875,0.6175,0.745,0.755,0.735,0.725,0.7045863381410257,0.6872204917468835,0.6174163024926383,0.7449617461746175,0.7541890468667719,0.7349204821084743,0.725,0.7059063482086738,0.6883969791248495,0.6175256480832749,0.7452589118198873,0.7588701831724558,0.7354295261695577,0.7250362509062727,0.705,0.6875,0.6175,0.745,0.755,0.735,0.725,4846.5199728012085,0.07807302474975586,0.010612726211547852,0.9350519180297852,7.7121100425720215,5.6124427318573,0.6399402618408203,2.6111271381378174,0.6132726669311523,0.0038673877716064453,0.0007917881011962891,0.23753571510314941,0.001199960708618164,0.03231358528137207,0.030312299728393555,300986688
