Dataset,Method,depth,NB_acc,NN_acc,DT_acc,SVC_acc,LR_acc,Extra_acc,Random_acc,NB_weighted_F1,NN_weighted_F1,DT_weighted_F1,SVC_weighted_F1,LR_weighted_F1,Extra_weighted_F1,Random_weighted_F1,NB_weighted_precision,NN_weighted_precision,DT_weighted_precision,SVC_weighted_precision,LR_weighted_precision,Extra_weighted_precision,Random_weighted_precision,NB_weighted_recall,NN_weighted_recall,DT_weighted_recall,SVC_weighted_recall,LR_weighted_recall,Extra_weighted_recall,Random_weighted_recall,Create_time,NB_Train_time,NN_Train_time,DT_Train_time,SVC_Train_time,LR_Train_time,Extra_Train_time,Random_Train_time,NB_Test_time,NN_Test_time,DT_Test_time,SVC_Test_time,LR_Test_time,Extra_Test_time,Random_Test_time,Memory
cities,RDF2Vec,1,0.6470588235294118,0.5588235294117647,0.5,0.6176470588235294,0.6176470588235294,0.4411764705882353,0.5,0.6303185305742851,0.5616132631914554,0.5031616982836494,0.59246677394362,0.59246677394362,0.4484845376685983,0.5031616982836494,0.6324183006535948,0.5653361344537815,0.5071428571428571,0.5950226244343892,0.5950226244343892,0.47487745098039214,0.5071428571428571,0.6470588235294118,0.5588235294117647,0.5,0.6176470588235294,0.6176470588235294,0.4411764705882353,0.5,67.13870048522949,0.00693964958190918,0.0026764869689941406,0.039488792419433594,0.9334394931793213,0.3453099727630615,0.20814967155456543,0.25440144538879395,0.005896806716918945,0.0007061958312988281,0.00022721290588378906,0.002604246139526367,0.0003986358642578125,0.020175933837890625,0.019627809524536133,17731568
cities,RDF2Vec,2,0.5588235294117647,0.6470588235294118,0.5294117647058824,0.7058823529411765,0.6764705882352942,0.7352941176470589,0.6764705882352942,0.5645930560541567,0.6303185305742851,0.534453781512605,0.6919321088119041,0.6661551577152601,0.7268542199488489,0.6399823087129588,0.5945669934640523,0.6324183006535948,0.5430340557275541,0.6996078431372549,0.6669117647058824,0.7308823529411765,0.6740196078431372,0.5588235294117647,0.6470588235294118,0.5294117647058824,0.7058823529411765,0.6764705882352942,0.7352941176470589,0.6764705882352942,114.51774621009827,0.0050525665283203125,0.002219676971435547,0.04043865203857422,0.9499807357788086,0.5346419811248779,0.2129347324371338,0.26059603691101074,0.008422613143920898,0.0007371902465820312,0.00022554397583007812,0.002684354782104492,0.00043845176696777344,0.014747858047485352,0.014206647872924805,55717568
cities,RDF2Vec,3,0.6764705882352942,0.6764705882352942,0.6176470588235294,0.6764705882352942,0.7352941176470589,0.7058823529411765,0.7058823529411765,0.6737619699042408,0.6399823087129588,0.605456095481671,0.6661551577152601,0.7268542199488489,0.6919321088119041,0.6801470588235294,0.6722370766488415,0.6740196078431372,0.6029411764705882,0.6669117647058824,0.7308823529411765,0.6996078431372549,0.707749766573296,0.6764705882352942,0.6764705882352942,0.6176470588235294,0.6764705882352942,0.7352941176470589,0.7058823529411765,0.7058823529411765,158.09494280815125,0.004984855651855469,0.0021915435791015625,0.03490018844604492,0.9468066692352295,0.5787849426269531,0.21047663688659668,0.2544898986816406,0.00823068618774414,0.0007102489471435547,0.0002257823944091797,0.0025217533111572266,0.00041484832763671875,0.015224695205688477,0.0142059326171875,59661568
cities,RDF2Vec,4,0.7058823529411765,0.6764705882352942,0.7058823529411765,0.7647058823529411,0.7352941176470589,0.6470588235294118,0.6764705882352942,0.7058823529411765,0.6551641933369092,0.7003119429590018,0.7602495543672015,0.7268542199488489,0.640374331550802,0.6661551577152601,0.7058823529411765,0.6665723981900453,0.6998372471518252,0.7614508253894444,0.7308823529411765,0.6382236689142059,0.6669117647058824,0.7058823529411765,0.6764705882352942,0.7058823529411765,0.7647058823529411,0.7352941176470589,0.6470588235294118,0.6764705882352942,188.92085576057434,0.005065202713012695,0.002295255661010742,0.02708292007446289,0.9400904178619385,0.4996311664581299,0.2059929370880127,0.2546987533569336,0.008261680603027344,0.0007102489471435547,0.0002357959747314453,0.0023488998413085938,0.00045943260192871094,0.019856929779052734,0.01946854591369629,57525568
albums,RDF2Vec,1,0.5208333333333334,0.525,0.525,0.5125,0.49583333333333335,0.5083333333333333,0.5166666666666667,0.5127032610039018,0.5248680188941371,0.524925769651508,0.49709864603481624,0.4957983193277311,0.5076409534240859,0.5159860220101183,0.5223230895155889,0.525027808676307,0.5250156347717323,0.5142450142450143,0.49583217560433457,0.5083804734967525,0.5167609469935052,0.5208333333333334,0.525,0.525,0.5125,0.49583333333333335,0.5083333333333333,0.5166666666666667,951.3543357849121,0.0574793815612793,0.009101629257202148,0.7342021465301514,5.001808166503906,1.2682900428771973,0.5891463756561279,1.7968428134918213,0.2858271598815918,0.004652261734008789,0.00093841552734375,0.34636807441711426,0.0013842582702636719,0.03536081314086914,0.03204011917114258,41760704
albums,RDF2Vec,2,0.69375,0.7041666666666667,0.6270833333333333,0.7291666666666666,0.7020833333333333,0.7145833333333333,0.7375,0.6937380366420562,0.7041461212584207,0.627081714764387,0.7290490664350847,0.701864648982978,0.7145523602821486,0.7374270630730759,0.6937802781684639,0.7042233953876076,0.6270855396795082,0.7295652173913043,0.7026779962041407,0.714676508901433,0.7377641824249165,0.69375,0.7041666666666667,0.6270833333333333,0.7291666666666666,0.7020833333333333,0.7145833333333333,0.7375,3290.358384370804,0.05532693862915039,0.006959676742553711,0.6404919624328613,4.438314437866211,2.7147481441497803,0.4945511817932129,1.727485179901123,0.6084043979644775,0.0042591094970703125,0.0008616447448730469,0.2263350486755371,0.0013244152069091797,0.03310394287109375,0.03125953674316406,182394704
albums,RDF2Vec,3,0.6958333333333333,0.7395833333333334,0.6395833333333333,0.7291666666666666,0.7208333333333333,0.7354166666666667,0.7416666666666667,0.6957488191164212,0.7395550732501357,0.639569254007318,0.7291619646174413,0.7208284866056703,0.7354063309764705,0.7416262957753815,0.696051167964405,0.7396873643074251,0.6396051466374953,0.7291825821237586,0.720848670046531,0.7354534562692088,0.7418178027934126,0.6958333333333333,0.7395833333333334,0.6395833333333333,0.7291666666666666,0.7208333333333333,0.7354166666666667,0.7416666666666667,6494.539122581482,0.05527234077453613,0.006937980651855469,0.5489146709442139,4.502303838729858,2.5219883918762207,0.4915940761566162,1.7074658870697021,0.6028227806091309,0.004319667816162109,0.0008599758148193359,0.22461295127868652,0.0013155937194824219,0.03334307670593262,0.031061172485351562,211516704
movies,RDF2Vec,1,0.59,0.5525,0.56,0.6225,0.595,0.5675,0.555,0.5847499746937949,0.5524020793868121,0.56,0.620071774847679,0.5938834586466164,0.5673296509556052,0.5549332349778701,0.5955115207373273,0.5524768541687518,0.5600280007000176,0.626242302955665,0.5963875477135417,0.567734375,0.5549774859287055,0.59,0.5525,0.56,0.6225,0.595,0.5675,0.555,2078.0245020389557,0.07889819145202637,0.011097431182861328,0.9665160179138184,8.711123704910278,2.6196014881134033,0.7492687702178955,2.628748655319214,0.32187414169311523,0.0042760372161865234,0.0008127689361572266,0.3137192726135254,0.001312255859375,0.03639030456542969,0.031378746032714844,55822688
movies,RDF2Vec,2,0.7325,0.6975,0.68,0.805,0.795,0.785,0.7825,0.7323343591090762,0.6960128648655436,0.6792785390415591,0.8046484375,0.7946304086538462,0.7849892497312433,0.7824796061884669,0.7329116541353383,0.7019591493268054,0.6819778500971264,0.8075768678703633,0.7974998111354538,0.7851355304943612,0.782547268907563,0.7325,0.6975,0.68,0.805,0.795,0.785,0.7825,4893.926237344742,0.07802343368530273,0.010618448257446289,1.0164108276367188,7.687431335449219,4.0375800132751465,0.6330661773681641,2.532888174057007,0.6280708312988281,0.004369020462036133,0.0007920265197753906,0.238037109375,0.0013265609741210938,0.03337430953979492,0.03076791763305664,300728688
movies,RDF2Vec,3,0.73,0.725,0.6275,0.8025,0.7975,0.78,0.7875,0.7297161522865511,0.72437999448884,0.6265689775054969,0.8020313645161897,0.7972529421701673,0.78,0.7874800750117206,0.7307501694659939,0.7274092434218824,0.6291174242424242,0.8060795454545454,0.7992579891468193,0.78,0.7875487695078032,0.73,0.725,0.6275,0.8025,0.7975,0.78,0.7875,8711.736567020416,0.07796764373779297,0.009886741638183594,1.1179256439208984,8.0661301612854,3.4477765560150146,0.6808233261108398,2.607166051864624,0.6274070739746094,0.004522562026977539,0.0008251667022705078,0.24713444709777832,0.004138946533203125,0.060935258865356445,0.031175851821899414,331374688
