Country,Research Rating,Inflation Rating,Continent
http://dbpedia.org/resource/Afghanistan,low,high,1
http://dbpedia.org/resource/Albania,low,low,0
http://dbpedia.org/resource/Algeria,high,high,3
http://dbpedia.org/resource/Angola,low,high,3
http://dbpedia.org/resource/Antigua_and_Barbuda,low,low,2
http://dbpedia.org/resource/Armenia,high,low,1
http://dbpedia.org/resource/Australia,high,low,4
http://dbpedia.org/resource/Austria,high,low,0
http://dbpedia.org/resource/Azerbaijan,high,low,1
http://dbpedia.org/resource/Bahrain,low,low,1
http://dbpedia.org/resource/Bangladesh,high,high,1
http://dbpedia.org/resource/Barbados,low,high,2
http://dbpedia.org/resource/Belarus,high,high,0
http://dbpedia.org/resource/Belgium,high,low,0
http://dbpedia.org/resource/Belize,low,low,2
http://dbpedia.org/resource/Benin,low,high,3
http://dbpedia.org/resource/Bhutan,low,high,1
http://dbpedia.org/resource/Bolivia,low,high,2
http://dbpedia.org/resource/Bosnia_and_Herzegovina,low,low,0
http://dbpedia.org/resource/Botswana,low,high,3
http://dbpedia.org/resource/Brazil,high,high,2
http://dbpedia.org/resource/Brunei_Darussalam,low,low,1
http://dbpedia.org/resource/Bulgaria,high,low,0
http://dbpedia.org/resource/Burkina_Faso,low,low,3
http://dbpedia.org/resource/Burundi,low,high,3
http://dbpedia.org/resource/Cabo_Verde,low,low,3
http://dbpedia.org/resource/Cambodia,low,low,1
http://dbpedia.org/resource/Cameroon,high,low,3
http://dbpedia.org/resource/Canada,high,low,2
http://dbpedia.org/resource/Central_African_Republic,low,high,3
http://dbpedia.org/resource/Chad,low,high,3
http://dbpedia.org/resource/Chile,high,low,2
http://dbpedia.org/resource/China,high,low,1
http://dbpedia.org/resource/Colombia,high,low,2
http://dbpedia.org/resource/Comoros,low,low,3
http://dbpedia.org/resource/Costa_Rica,high,high,2
http://dbpedia.org/resource/Croatia,high,low,0
http://dbpedia.org/resource/Cyprus,high,low,1
http://dbpedia.org/resource/Czech_Republic,high,low,0
http://dbpedia.org/resource/Denmark,high,low,0
http://dbpedia.org/resource/Djibouti,low,low,3
http://dbpedia.org/resource/Dominica,low,low,2
http://dbpedia.org/resource/Dominican_Republic,low,low,2
http://dbpedia.org/resource/Ecuador,low,high,2
http://dbpedia.org/resource/El_Salvador,low,low,2
http://dbpedia.org/resource/Equatorial_Guinea,low,high,3
