Movie	Release date	DBpedia_URI	Label	id	rating
4 Months, 3 Weeks and 2 Days	1/23/2008 0:00	http://dbpedia.org/resource/4_Months,_3_Weeks_and_2_Days	good	1601	97
Ratatouille	6/29/2007 0:00	http://dbpedia.org/resource/Ratatouille_(film)	good	1602	96
Killer of Sheep	3/30/2007 0:00	http://dbpedia.org/resource/Killer_of_Sheep	good	1603	94
Sideways	10/22/2004 0:00	http://dbpedia.org/resource/Sideways	good	1604	94
Sita Sings the Blues	12/25/2009 0:00	http://dbpedia.org/resource/Sita_Sings_the_Blues	good	1605	94
The Hurt Locker	6/26/2009 0:00	http://dbpedia.org/resource/The_Hurt_Locker	good	1606	94
Close Encounters of the Third Kind	11/16/1977 0:00	http://dbpedia.org/resource/Close_Encounters_of_the_Third_Kind	good	1607	91
Star Wars: Episode IV - A New Hope	5/25/1977 0:00	http://dbpedia.org/resource/Star_Wars_(film)	good	1608	91
MoolaadÃƒÂ©	10/15/2004 0:00	http://dbpedia.org/resource/Moolaad%C3%A9	good	1609	91
A Prophet	2/26/2010 0:00	http://dbpedia.org/resource/A_Prophet	good	1610	90
Before Sunset	7/2/2004 0:00	http://dbpedia.org/resource/Before_Sunset	good	1611	90
Capturing the Friedmans	5/30/2003 0:00	http://dbpedia.org/resource/Capturing_the_Friedmans	good	1612	90
Finding Nemo	5/30/2003 0:00	http://dbpedia.org/resource/Finding_Nemo	good	1613	90
Hannah and Her Sisters	2/1/1986 0:00	http://dbpedia.org/resource/Hannah_and_Her_Sisters	good	1614	90
Raiders of the Lost Ark	6/12/1981 0:00	http://dbpedia.org/resource/Raiders_of_the_Lost_Ark	good	1615	90
Goodbye Solo	3/27/2009 0:00	http://dbpedia.org/resource/Goodbye_Solo	good	1616	89
Letters from Iwo Jima	12/20/2006 0:00	http://dbpedia.org/resource/Letters_from_Iwo_Jima	good	1617	89
Chicken Run	6/21/2000 0:00	http://dbpedia.org/resource/Chicken_Run	good	1618	88
Toy Story 2	11/24/1999 0:00	http://dbpedia.org/resource/Toy_Story_2	good	1619	88
All About My Mother	11/19/1999 0:00	http://dbpedia.org/resource/All_About_My_Mother	good	1620	87
Children of Hiroshima	4/22/2011 0:00	http://dbpedia.org/resource/Children_of_Hiroshima	good	1621	86
Slumdog Millionaire	11/12/2008 0:00	http://dbpedia.org/resource/Slumdog_Millionaire	good	1622	86
Talk to Her	11/22/2002 0:00	http://dbpedia.org/resource/Talk_to_Her	good	1623	86
The Player	4/3/1992 0:00	http://dbpedia.org/resource/The_Player_(film)	good	1624	86
This Is England	7/27/2007 0:00	http://dbpedia.org/resource/This_Is_England	good	1625	86
Ordinary People	9/18/1980 0:00	http://dbpedia.org/resource/Ordinary_People	good	1626	85
Paradise Lost 3: Purgatory	1/12/2012 0:00	http://dbpedia.org/resource/Paradise_Lost_3:_Purgatory	good	1627	85
Iraq in Fragments	11/10/2006 0:00	http://dbpedia.org/resource/Iraq_in_Fragments	good	1628	84
That Obscure Object of Desire	7/13/2001 0:00	http://dbpedia.org/resource/That_Obscure_Object_of_Desire	good	1629	84
The Descendants	11/16/2011 0:00	http://dbpedia.org/resource/The_Descendants	good	1630	84
The Magdalene Sisters	8/1/2003 0:00	http://dbpedia.org/resource/The_Magdalene_Sisters	good	1631	83
Incendies	4/22/2011 0:00	http://dbpedia.org/resource/Incendies	good	1632	82
My Summer of Love	6/17/2005 0:00	http://dbpedia.org/resource/My_Summer_of_Love	good	1633	82
Rachel Getting Married	10/3/2008 0:00	http://dbpedia.org/resource/Rachel_Getting_Married	good	1634	82
Tell No One	7/2/2008 0:00	http://dbpedia.org/resource/Tell_No_One	good	1635	82
The Agronomist	4/23/2004 0:00	http://dbpedia.org/resource/The_Agronomist	good	1636	82
The Filth and the Fury	4/7/2000 0:00	http://dbpedia.org/resource/The_Filth_and_the_Fury	good	1637	82
Unforgiven	8/7/1992 0:00	http://dbpedia.org/resource/Unforgiven	good	1638	82
A History of Violence	9/23/2005 0:00	http://dbpedia.org/resource/A_History_of_Violence	good	1639	81
Bad Education	11/19/2004 0:00	http://dbpedia.org/resource/Bad_Education_(film)_(film)	good	1640	#N/A
Blood Simple.	7/7/2000 0:00	http://dbpedia.org/resource/Blood_Simple	good	1641	81
Room 237	3/29/2013 0:00	http://dbpedia.org/resource/Room_237	good	1642	80
The Simpsons Movie	7/27/2007 0:00	http://dbpedia.org/resource/The_Simpsons_Movie	good	1643	80
Wild Reeds	5/10/1995 0:00	http://dbpedia.org/resource/Wild_Reeds	good	1644	80
So Much So Fast	10/11/2006 0:00	http://dbpedia.org/resource/So_Much_So_Fast	good	1645	79
Terms of Endearment	11/23/1983 0:00	http://dbpedia.org/resource/Terms_of_Endearment	good	1646	79
The Fighter	12/10/2010 0:00	http://dbpedia.org/resource/The_Fighter	good	1647	79
The Five Obstructions	5/26/2004 0:00	http://dbpedia.org/resource/The_Five_Obstructions	good	1648	79
Wings of Desire	5/6/1988 0:00	http://dbpedia.org/resource/Wings_of_Desire	good	1649	79
Diamond Men	9/28/2001 0:00	http://dbpedia.org/resource/Diamond_Men	good	1650	78
Full Metal Jacket	6/26/1987 0:00	http://dbpedia.org/resource/Full_Metal_Jacket	good	1651	78
Human Resources	9/15/2000 0:00	http://dbpedia.org/resource/Human_Resources_(film)	good	1652	78
Into Great Silence	2/28/2007 0:00	http://dbpedia.org/resource/Into_Great_Silence	good	1653	78
Please Give	4/30/2010 0:00	http://dbpedia.org/resource/Please_Give	good	1654	78
Putty Hill	2/18/2011 0:00	http://dbpedia.org/resource/Putty_Hill	good	1655	78
The Real Dirt on Farmer John	1/20/2006 0:00	http://dbpedia.org/resource/The_Real_Dirt_on_Farmer_John	good	1656	78
Thief	3/27/1981 0:00	http://dbpedia.org/resource/Thief_(film)	good	1657	78
Caesar Must Die	2/6/2013 0:00	http://dbpedia.org/resource/Caesar_Must_Die	good	1658	77
China Heavyweight	7/6/2012 0:00	http://dbpedia.org/resource/China_Heavyweight	good	1659	77
Daughter from Danang	11/1/2002 0:00	http://dbpedia.org/resource/Daughter_from_Danang	good	1660	77
