Assuming 9 as type relation
Loading files... 
  Starting dbpedia2.tsv
  Finished dbpedia2.tsv, still running: 0
Loaded 6704524 facts in 47.02 s using 36293 MB
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 32 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  <dbo:worldSnookerChampionshipRoundsProperty>  ?b   => ?a  <dbo:worldSnookerChampionshipRoundsProperty84>  ?b	0.981981982	0.300275482	0.50462963	109	363	216	-2
?a  <dbo:seat>  ?b   => ?a  <dbo:largestCity>  ?b	0.280871671	0.047289034	0.659090909	116	2453	176	-1
?a  <dbo:capital>  ?b   => ?a  <dbo:largestCity>  ?b	0.288135593	0.034633295	0.657458564	119	3436	181	-1
?b  <dbo:higher>  ?a   => ?a  <dbo:lower>  ?b	0.611111111	0.619047619	0.861445783	143	231	166	-1
?a  <dbo:firstRace>  ?b   => ?a  <dbo:lastRace>  ?b	0.211904762	0.207459207	0.222778473	178	858	799	-1
?a  <dbo:commentary>  ?b   => ?a  <dbo:showRunner>  ?b	0.488372093	0.22826087	0.242138365	231	1012	954	-1
?b  <dbo:tenants>  ?a   => ?a  <dbo:arena>  ?b	0.147623019	0.073291925	0.699604743	177	2415	253	-1
?a  <dbo:terminusA>  ?b   => ?a  <dbo:terminusB>  ?b	0.112676056	0.107469103	0.223214286	200	1861	896	-2
?a  <dbo:cities>  ?b   => ?a  <dbo:terminusB>  ?b	0.112112676	0.035221239	0.34973638	199	5650	569	-2
?b  <dbo:southeast>  ?a   => ?a  <dbo:northwest>  ?b	0.315436242	0.326388889	0.532577904	188	576	353	-1
?a  <dbo:rd4Team02>  ?b   => ?a  <dbo:rd2Team06>  ?b	0.126320733	0.126677655	0.198377581	538	4247	2712	-2
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd2Team06>  ?b	0.05001174	0.024075958	0.06404089	213	8847	3326	-2
?a  <dbo:rd1Team12>  ?b   => ?a  <dbo:rd2Team06>  ?b	0.278469124	0.316266667	0.512753999	1186	3750	2313	-2
?a  <dbo:rd1Team11>  ?b   => ?a  <dbo:rd2Team06>  ?b	0.521014323	0.595385028	0.787158567	2219	3727	2819	-2
?a  <dbo:rd3Team03>  ?b   => ?a  <dbo:rd2Team06>  ?b	0.416529702	0.417215428	0.548546691	1774	4252	3234	-2
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd1Team09>  ?b	0.083083628	0.034474963	0.088457077	305	8847	3448	-2
?a  <dbo:rd2Team>  ?b   => ?a  <dbo:rd1Team09>  ?b	0.03214383	0.027595884	0.070196312	118	4276	1681	-2
?a  <dbo:rd3Team03>  ?b   => ?a  <dbo:rd1Team09>  ?b	0.378643421	0.326904986	0.483646486	1390	4252	2874	-2
?a  <dbo:rd4Team02>  ?b   => ?a  <dbo:rd1Team09>  ?b	0.151184963	0.13068048	0.200723327	555	4247	2765	-2
?a  <dbo:rd2Team05>  ?b   => ?a  <dbo:rd1Team09>  ?b	0.657586489	0.566267886	0.75508289	2414	4263	3197	-2
?b  <dbo:members>  ?a   => ?a  <dbo:previousAlliances>  ?b	0.11713456	0.054875283	0.668508287	121	2205	181	-1
?b  <dbo:hoennpreceding>  ?a   => ?a  <dbo:hoennfollowing>  ?b	0.823529412	0.823529412	0.961832061	126	153	131	-2
?a  <dbo:following>  ?b   => ?a  <dbo:hoennfollowing>  ?b	0.705882353	0.073319756	0.75	108	1473	144	-2
?a  <dbo:largestCity>  ?b   => ?a  <dbo:seat>  ?b	0.047289034	0.280871671	0.90625	116	413	128	-2
?b  <dbo:lga>  ?a   => ?a  <dbo:seat>  ?b	0.051773339	0.09270073	0.907142857	127	1370	140	-2
?b  <dbo:mapCaption>  ?a   => ?a  <dbo:seat>  ?b	0.070118223	0.038905225	0.467391304	172	4421	368	-2
?b  <dbo:subdivisionName>  ?a   => ?a  <dbo:seat>  ?b	0.225438239	0.024974032	0.372892785	553	22143	1483	-2
?b  <dbo:evolvesfrom>  ?a   => ?a  <dbo:following>  ?b	0.076714189	0.768707483	0.84962406	113	147	133	-2
?a  <dbo:hoennfollowing>  ?b   => ?a  <dbo:following>  ?b	0.073319756	0.705882353	0.75	108	153	144	-2
?a  <dbo:evolvesto>  ?b   => ?a  <dbo:following>  ?b	0.085539715	0.754491018	0.84	126	167	150	-2
?b  <dbo:prec>  ?a   => ?a  <dbo:following>  ?b	0.176510523	0.838709677	0.931899642	260	310	279	-2
?b  <dbo:mp>  ?a   => ?a  <dbo:constituencyMp>  ?b	0.679324895	0.452883263	0.947058824	322	711	340	-2
?b  <dbo:candidate>  ?a   => ?a  <dbo:constituencyMp>  ?b	0.719409283	0.042598376	0.291452991	341	8005	1170	-2
?a  <dbo:title>  ?b   => ?a  <dbo:constituencyMp>  ?b	0.578059072	0.002022081	0.164564565	274	135504	1665	-2
?b  <dbo:preceding>  ?a   => ?a  <dbo:following>  ?b	0.623896809	0.781462585	0.840036563	919	1176	1094	-2
?b  <dbo:arena>  ?a   => ?a  <dbo:tenants>  ?b	0.073291925	0.147623019	0.842857143	177	1199	210	-2
?a  <dbo:owner>  ?b   => ?a  <dbo:tenants>  ?b	0.086956522	0.018492427	0.628742515	210	11356	334	-2
?b  <dbo:ground>  ?a   => ?a  <dbo:tenants>  ?b	0.205797101	0.04351633	0.370342772	497	11421	1342	-2
?a  <dbo:operator>  ?b   => ?a  <dbo:tenants>  ?b	0.064182195	0.077538769	0.833333333	155	1999	186	-2
?b  <dbo:friends>  ?a   => ?a  <dbo:friends>  ?b	0.296735905	0.296735905	0.438596491	100	337	228	-2
?a  <dbo:placeOfBirth>  ?b   => ?a  <dbo:placeofbirth>  ?b	0.042152894	0.006994112	0.83490566	177	25307	212	-1
?a  <dbo:placeofdeath>  ?b   => ?a  <dbo:placeofbirth>  ?b	0.064301024	0.110114192	0.131900342	270	2452	2047	-1
?a  <dbo:birthPlace>  ?b   => ?a  <dbo:placeofbirth>  ?b	0.045487021	0.002483228	0.679715302	191	76916	281	-1
?a  <dbo:terminusB>  ?b   => ?a  <dbo:cities>  ?b	0.035221239	0.112112676	0.576811594	199	1775	345	-2
?a  <dbo:endingTerminus>  ?b   => ?a  <dbo:cities>  ?b	0.062477876	0.026298145	0.516837482	353	13423	683	-2
?a  <dbo:startingTerminus>  ?b   => ?a  <dbo:cities>  ?b	0.07380531	0.029597558	0.551587302	417	14089	756	-2
?a  <dbo:terminusA>  ?b   => ?a  <dbo:cities>  ?b	0.034159292	0.103707684	0.564327485	193	1861	342	-2
?a  <dbo:junction>  ?b   => ?a  <dbo:cities>  ?b	0.094336283	0.023277142	0.408429119	533	22898	1305	-2
?a  <dbo:notableRole>  ?b   => ?a  <dbo:caption>  ?b	0.023563734	0.024176836	0.175438596	210	8686	1197	-2
?a  <dbo:portrayer>  ?b   => ?a  <dbo:caption>  ?b	0.019860862	0.064645727	0.673003802	177	2738	263	-2
?b  <dbo:starring>  ?a   => ?a  <dbo:caption>  ?b	0.016943447	0.001443332	0.110947832	151	104619	1361	-2
?b  <dbo:caption>  ?a   => ?a  <dbo:caption>  ?b	0.117482047	0.117482047	0.409624413	1047	8912	2556	-2
?a  <dbo:starring>  ?b   => ?a  <dbo:caption>  ?b	0.02188061	0.001863906	0.046077505	195	104619	4232	-2
?b  <dbo:doctoralStudents>  ?a   => ?a  <dbo:doctoralAdvisor>  ?b	0.270650264	0.231231231	0.823529412	154	666	187	-1
?a  <dbo:firstTeam>  ?b   => ?a  <dbo:poleTeam>  ?b	0.327751196	0.496376812	0.501831502	137	276	273	-1
?a  <dbo:fastTeam>  ?b   => ?a  <dbo:poleTeam>  ?b	0.311004785	0.412698413	0.416666667	130	315	312	-1
?a  <dbo:commands>  ?b   => ?a  <dbo:unit>  ?b	0.080430652	0.078153846	0.423333333	127	1625	300	-1
?a  <dbo:secondTeam>  ?b   => ?a  <dbo:poleTeam>  ?b	0.246411483	0.351535836	0.355172414	103	293	290	-1
?b  <dbo:stepProperty>  ?a   => ?a  <dbo:stepProperty>  ?b	0.452702703	0.452702703	0.585152838	134	296	229	-2
?b  <dbo:after>  ?a   => ?a  <dbo:precededBy>  ?b	0.025774991	0.001362511	0.439169139	148	108623	337	-1
?a  <dbo:before>  ?b   => ?a  <dbo:precededBy>  ?b	0.029780564	0.001544339	0.589655172	171	110727	290	-1
?b  <dbo:followedBy>  ?a   => ?a  <dbo:precededBy>  ?b	0.745907349	0.687811145	0.935765785	4283	6227	4577	-1
?b  <dbo:west>  ?a   => ?a  <dbo:east>  ?b	0.46328125	0.453017571	0.732098765	593	1309	810	-1
?b  <dbo:nearS>  ?a   => ?a  <dbo:nearNw>  ?b	0.184987893	0.168578994	0.233639144	382	2266	1635	-1
?b  <dbo:nearSe>  ?a   => ?a  <dbo:nearNw>  ?b	0.446004843	0.441091954	0.599219258	921	2088	1537	-1
?a  <dbo:nearN>  ?b   => ?a  <dbo:nearNw>  ?b	0.201937046	0.18541574	0.211997966	417	2249	1967	-1
?a  <dbo:nearW>  ?b   => ?a  <dbo:nearNw>  ?b	0.226634383	0.208	0.234468938	468	2250	1996	-1
?b  <dbo:nearE>  ?a   => ?a  <dbo:nearNw>  ?b	0.172881356	0.159731544	0.233180927	357	2235	1531	-1
?a  <dbo:creator>  ?b   => ?a  <dbo:network>  ?b	0.021423635	0.030043612	0.050175344	186	6191	3707	-1
?a  <dbo:t2p>  ?b   => ?a  <dbo:t1p>  ?b	0.214251091	0.211888782	0.297643098	442	2086	1485	-2
