,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a dbo:rd4Team01 ?b'}),frozenset({'?a dbo:rd2Team03 ?b'}),4240.0,4282.0,506.0,0.11933962264150944,2.7870066006891507e-05,-18155174.0,-4861.12479914301
1,frozenset({'?a dbo:rd2Team03 ?b'}),frozenset({'?a dbo:rd4Team01 ?b'}),4282.0,4240.0,506.0,0.11816907986921998,2.7870066006891507e-05,-18155174.0,-4807.043961864407
2,frozenset({'?a dbo:rd2Team03 ?b'}),frozenset({'?a dbo:rd3Team02 ?b'}),4282.0,4255.0,1785.0,0.41686127977580567,9.796974847845022e-05,-18218125.0,-7295.005206247497
3,frozenset({'?a dbo:rd3Team02 ?b'}),frozenset({'?a dbo:rd2Team03 ?b'}),4255.0,4282.0,1785.0,0.4195064629847238,9.796974847845022e-05,-18218125.0,-7374.759109311741
4,frozenset({'?a dbo:rd1Team06 ?b'}),frozenset({'?a dbo:rd2Team03 ?b'}),3683.0,4282.0,1154.0,0.3133315232147706,7.31741063089142e-05,-15769452.0,-6234.449584816133
5,frozenset({'?a dbo:rd2Team03 ?b'}),frozenset({'?a dbo:rd1Team06 ?b'}),4282.0,3683.0,1154.0,0.269500233535731,7.31741063089142e-05,-15769452.0,-5040.384910485934
6,frozenset({'?a dbo:rd2Team03 ?b'}),frozenset({'?a dbo:rd1Team05 ?b'}),4282.0,3656.0,2230.0,0.5207846800560486,0.00014244657550767194,-15652762.0,-7627.051656920078
7,frozenset({'?a dbo:rd1Team05 ?b'}),frozenset({'?a dbo:rd2Team03 ?b'}),3656.0,4282.0,2230.0,0.6099562363238512,0.00014244657550767194,-15652762.0,-10975.691444600281
8,frozenset({'?a dbo:rd2Team03 ?b'}),frozenset({'?a dbo:rd1Team ?b'}),4282.0,8847.0,235.0,0.054880896777206915,6.203334099379102e-06,-37882619.0,-9359.666913763282
9,frozenset({'?a dbo:rd1Team ?b'}),frozenset({'?a dbo:rd2Team03 ?b'}),8847.0,4282.0,235.0,0.026562676613541312,6.203334099379101e-06,-37882619.0,-4397.817812354853
10,frozenset({'?a dbo:lyrics ?b'}),frozenset({'?a dbo:book ?b'}),1215.0,768.0,248.0,0.20411522633744855,0.0002657750342935528,-932872.0,-963.7073422957601
11,frozenset({'?a dbo:book ?b'}),frozenset({'?a dbo:lyrics ?b'}),768.0,1215.0,248.0,0.3229166666666667,0.0002657750342935528,-932872.0,-1792.9846153846156
12,frozenset({'?a dbo:lyrics ?b'}),frozenset({'?a dbo:music ?b'}),1215.0,15384.0,289.0,0.23786008230452674,1.5461523810746666e-05,-18691271.0,-20183.95788336933
13,frozenset({'?a dbo:music ?b'}),frozenset({'?a dbo:lyrics ?b'}),15384.0,1215.0,289.0,0.0187857514300572,1.546152381074667e-05,-18691271.0,-1237.2425306392845
14,frozenset({'?b dbo:nextAlbum ?a'}),frozenset({'?a dbo:lastAlbum ?b'}),34035.0,33673.0,21861.0,0.6423093873953284,1.9074908306219474e-05,-1146038694.0,-94137.22030556927
15,frozenset({'?a dbo:lastAlbum ?b'}),frozenset({'?b dbo:nextAlbum ?a'}),33673.0,34035.0,21861.0,0.6492145042021797,1.907490830621947e-05,-1146038694.0,-97022.25550287841
16,frozenset({'?a dbo:drivers ?b'}),frozenset({'?b dbo:team_percent_28s_percent_29 ?a'}),502.0,1436.0,101.0,0.20119521912350596,0.0001401080913116337,-720771.0,-1796.43391521197
17,frozenset({'?b dbo:team_percent_28s_percent_29 ?a'}),frozenset({'?a dbo:drivers ?b'}),1436.0,502.0,101.0,0.07033426183844012,0.0001401080913116337,-720771.0,-538.9033707865169
18,frozenset({'?a dbo:inflow ?b'}),frozenset({'?a dbo:outflow ?b'}),1096.0,980.0,454.0,0.4142335766423358,0.0004226873231044243,-1073626.0,-1671.3146417445482
19,frozenset({'?a dbo:outflow ?b'}),frozenset({'?a dbo:inflow ?b'}),980.0,1096.0,454.0,0.463265306122449,0.0004226873231044243,-1073626.0,-2040.1140684410645
20,frozenset({'?a dbo:northeast ?b'}),frozenset({'?b dbo:southwest ?a'}),577.0,575.0,198.0,0.3431542461005199,0.0005967899932182955,-331577.0,-873.8733509234828
21,frozenset({'?b dbo:southwest ?a'}),frozenset({'?a dbo:northeast ?b'}),575.0,577.0,198.0,0.3443478260869565,0.0005967899932182955,-331577.0,-878.5145888594166
22,frozenset({'?a dbo:combatant ?b'}),frozenset({'?a dbo:result ?b'}),14718.0,809.0,320.0,0.021742084522353582,2.6875258989312214e-05,-11906542.0,-825.958049729129
23,frozenset({'?a dbo:result ?b'}),frozenset({'?a dbo:combatant ?b'}),809.0,14718.0,320.0,0.39555006180469715,2.6875258989312214e-05,-11906542.0,-24347.75664621677
24,frozenset({'?b dbo:academyawards ?a'}),frozenset({'?a dbo:director ?b'}),1514.0,32867.0,162.0,0.10700132100396301,3.2555852680184684e-06,-49760476.0,-36804.085798816566
25,frozenset({'?a dbo:director ?b'}),frozenset({'?b dbo:academyawards ?a'}),32867.0,1514.0,162.0,0.004928956095779962,3.255585268018469e-06,-49760476.0,-1520.4944503898487
26,frozenset({'?a dbo:goldenglobeawards ?b'}),frozenset({'?a dbo:academyawards ?b'}),1303.0,1514.0,251.0,0.19263238679969302,0.0001272340731834168,-1972491.0,-1873.9914448669203
27,frozenset({'?a dbo:academyawards ?b'}),frozenset({'?a dbo:goldenglobeawards ?b'}),1514.0,1303.0,251.0,0.16578599735799207,0.0001272340731834168,-1972491.0,-1560.750593824228
28,frozenset({'?a dbo:baftaawards ?b'}),frozenset({'?a dbo:academyawards ?b'}),732.0,1514.0,135.0,0.18442622950819673,0.00012181389003183403,-1108113.0,-1855.1356783919598
