,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a dbo:divboxProperty.dbo:divboxProperty ?b'}),frozenset({'?a dbo:divboxProperty ?b'}),1326.0,1334.0,1326.0,1.0,0.0007496251874062968,-1767558.0,inf
1,frozenset({'?a dbo:divboxProperty ?b'}),frozenset({'?a dbo:divboxProperty.dbo:divboxProperty ?b'}),1334.0,1326.0,1326.0,0.9940029985007496,0.0007496251874062968,-1767558.0,-220943.7499999983
2,frozenset({'?b dbo:divboxProperty.dbo:divboxProperty ?a'}),frozenset({'?a dbo:divboxProperty ?b'}),1326.0,1334.0,1201.0,0.9057315233785822,0.0006789591629524605,-1767683.0,-14140.464
3,frozenset({'?a dbo:divboxProperty ?b'}),frozenset({'?b dbo:divboxProperty.dbo:divboxProperty ?a'}),1334.0,1326.0,1201.0,0.9002998500749625,0.0006789591629524604,-1767683.0,-13289.849624060147
4,frozenset({'?a dbo:commentary.dbo:after ?b'}),frozenset({'?a dbo:commentary ?b'}),563.0,1012.0,127.0,0.2255772646536412,0.0002229024354284992,-569629.0,-1305.4885321100917
5,frozenset({'?a dbo:commentary ?b'}),frozenset({'?a dbo:commentary.dbo:after ?b'}),1012.0,563.0,127.0,0.12549407114624506,0.00022290243542849922,-569629.0,-642.6485875706215
6,frozenset({'?a dbo:misc ?b'}),frozenset({'?b dbo:prevTrack.dbo:next ?a'}),6346.0,152.0,114.0,0.017964071856287425,0.00011818468326504885,-964478.0,-153.76219512195124
7,frozenset({'?b dbo:prevTrack.dbo:next ?a'}),frozenset({'?a dbo:misc ?b'}),152.0,6346.0,114.0,0.75,0.00011818468326504885,-964478.0,-25380.0
8,frozenset({'?a dbo:genus.dbo:classis ?b'}),frozenset({'?a dbo:divisio ?b'}),16903.0,10514.0,288.0,0.017038395551085606,1.620543613380788e-06,-177717854.0,-10695.229551609991
9,frozenset({'?a dbo:divisio ?b'}),frozenset({'?a dbo:genus.dbo:classis ?b'}),10514.0,16903.0,288.0,0.027392048696975462,1.6205436133807882e-06,-177717854.0,-17378.01955798944
10,frozenset({'?a dbo:genus.dbo:classis ?b'}),frozenset({'?a dbo:phylum ?b'}),16903.0,32382.0,132.0,0.007809264627580903,2.411606641832161e-07,-547352814.0,-32635.862083358177
11,frozenset({'?a dbo:phylum ?b'}),frozenset({'?a dbo:genus.dbo:classis ?b'}),32382.0,16903.0,132.0,0.0040763387066889015,2.411606641832161e-07,-547352814.0,-16971.180279069766
12,frozenset({'?a dbo:genus.dbo:classis ?b'}),frozenset({'?a dbo:classis ?b'}),16903.0,41936.0,12707.0,0.7517600425959888,1.7926364998950515e-05,-708831501.0,-168929.29099142036
13,frozenset({'?a dbo:classis ?b'}),frozenset({'?a dbo:genus.dbo:classis ?b'}),41936.0,16903.0,12707.0,0.3030093475772606,1.792636499895052e-05,-708831501.0,-24249.96654008006
14,frozenset({'?a dbo:members.dbo:publisher ?b'}),frozenset({'?a dbo:publisher ?b'}),221.0,28318.0,171.0,0.7737556561085973,2.7323810159919392e-05,-6258107.0,-125161.14000000001
15,frozenset({'?a dbo:publisher ?b'}),frozenset({'?a dbo:members.dbo:publisher ?b'}),28318.0,221.0,171.0,0.006038562045342185,2.732381015991939e-05,-6258107.0,-221.3365545173553
16,frozenset({'?a dbo:layout ?b'}),frozenset({'?a dbo:similar.dbo:layout ?b'}),1372.0,2129.0,507.0,0.369533527696793,0.00017357140803043352,-2920481.0,-3375.2786127167633
17,frozenset({'?a dbo:similar.dbo:layout ?b'}),frozenset({'?a dbo:layout ?b'}),2129.0,1372.0,507.0,0.23813997181775481,0.00017357140803043355,-2920481.0,-1799.543156596794
18,frozenset({'?a dbo:layout ?b'}),frozenset({'?a dbo:predecessor.dbo:layout ?b'}),1372.0,508.0,244.0,0.17784256559766765,0.00035008379054658984,-696732.0,-616.6702127659574
19,frozenset({'?a dbo:predecessor.dbo:layout ?b'}),frozenset({'?a dbo:layout ?b'}),508.0,1372.0,244.0,0.48031496062992124,0.00035008379054658984,-696732.0,-2638.136363636364
20,frozenset({'?a dbo:related.dbo:layout ?b'}),frozenset({'?a dbo:layout ?b'}),1720.0,1372.0,632.0,0.3674418604651163,0.00026781476710285444,-2359208.0,-2167.389705882353
21,frozenset({'?a dbo:layout ?b'}),frozenset({'?a dbo:related.dbo:layout ?b'}),1372.0,1720.0,632.0,0.4606413994169096,0.00026781476710285444,-2359208.0,-3187.118918918919
22,frozenset({'?a dbo:successor.dbo:layout ?b'}),frozenset({'?a dbo:layout ?b'}),613.0,1372.0,257.0,0.4192495921696574,0.00030557550449683487,-840779.0,-2360.7387640449438
23,frozenset({'?a dbo:layout ?b'}),frozenset({'?a dbo:successor.dbo:layout ?b'}),1372.0,613.0,257.0,0.18731778425655976,0.00030557550449683487,-840779.0,-753.0618834080717
24,frozenset({'?a dbo:leaderName ?b'}),frozenset({'?a dbo:south.dbo:leaderName ?b'}),3804.0,616.0,159.0,0.0417981072555205,6.785407022000081e-05,-2343105.0,-641.8271604938271
25,frozenset({'?a dbo:south.dbo:leaderName ?b'}),frozenset({'?a dbo:leaderName ?b'}),616.0,3804.0,159.0,0.25811688311688313,6.785407022000083e-05,-2343105.0,-5126.144420131292
26,frozenset({'?a dbo:genre ?b'}),frozenset({'?a dbo:fromAlbum.dbo:genre ?b'}),159449.0,17720.0,6562.0,0.04115422486186806,2.322473186335669e-06,-2825429718.0,-18479.509906009014
27,frozenset({'?a dbo:fromAlbum.dbo:genre ?b'}),frozenset({'?a dbo:genre ?b'}),17720.0,159449.0,6562.0,0.3703160270880361,2.322473186335669e-06,-2825429718.0,-253219.0858576806
28,frozenset({'?a dbo:combinedDate ?b'}),frozenset({'?a dbo:fsDate ?b'}),205.0,203.0,168.0,0.8195121951219512,0.004037005887300252,-41447.0,-1119.189189189189
29,frozenset({'?a dbo:fsDate ?b'}),frozenset({'?a dbo:combinedDate ?b'}),203.0,205.0,168.0,0.8275862068965517,0.004037005887300252,-41447.0,-1183.1999999999998
30,"frozenset({('?a dbo:combinedDate ?b', '?a dbo:fsDate ?b')})",frozenset({'?a dbo:spDate ?b'}),168.0,210.0,106.0,0.6309523809523809,0.0030045351473922902,-35174.0,-566.3225806451612
31,frozenset({'?a dbo:spDate ?b'}),"frozenset({('?a dbo:combinedDate ?b', '?a dbo:fsDate ?b')})",210.0,168.0,106.0,0.5047619047619047,0.0030045351473922902,-35174.0,-337.21153846153845
32,frozenset({'?a dbo:combinedDate ?b'}),frozenset({'?a dbo:spDate ?b'}),205.0,210.0,130.0,0.6341463414634146,0.0030197444831591173,-42920.0,-571.2666666666667
33,frozenset({'?a dbo:spDate ?b'}),frozenset({'?a dbo:combinedDate ?b'}),210.0,205.0,130.0,0.6190476190476191,0.0030197444831591173,-42920.0,-535.5
34,"frozenset({('?a dbo:combinedDate ?b', '?a dbo:spDate ?b')})",frozenset({'?a dbo:fsDate ?b'}),130.0,203.0,106.0,0.8153846153846154,0.004016672982190224,-26284.0,-1094.1666666666665
35,frozenset({'?a dbo:fsDate ?b'}),"frozenset({('?a dbo:combinedDate ?b', '?a dbo:spDate ?b')})",203.0,130.0,106.0,0.5221674876847291,0.004016672982190224,-26284.0,-269.96907216494844
36,frozenset({'?a dbo:birthPlace ?b'}),frozenset({'?a dbo:countryofbirth.dbo:largestCity ?b'}),76916.0,5167.0,151.0,0.0019631806126163606,3.7994592851100456e-07,-397424821.0,-5176.161740376474
37,frozenset({'?a dbo:countryofbirth.dbo:largestCity ?b'}),frozenset({'?a dbo:birthPlace ?b'}),5167.0,76916.0,151.0,0.02922392103735243,3.799459285110046e-07,-397424821.0,-79230.42364433811
38,frozenset({'?a dbo:cityofbirth ?b'}),frozenset({'?a dbo:countryofbirth.dbo:largestCity ?b'}),17155.0,5167.0,773.0,0.045059749344214514,8.720679184094158e-06,-88639112.0,-5409.762544255891
39,frozenset({'?a dbo:countryofbirth.dbo:largestCity ?b'}),frozenset({'?a dbo:cityofbirth ?b'}),5167.0,17155.0,773.0,0.14960325140313527,8.720679184094158e-06,-88639112.0,-20171.76103777879
40,frozenset({'?a dbo:album.dbo:producer ?b'}),frozenset({'?a dbo:artist ?b'}),6802.0,74640.0,435.0,0.06395177888856218,8.568030397717334e-07,-507700845.0,-79738.41338149835
41,frozenset({'?a dbo:artist ?b'}),frozenset({'?a dbo:album.dbo:producer ?b'}),74640.0,6802.0,435.0,0.005827974276527331,8.568030397717334e-07,-507700845.0,-6840.868405093996
42,frozenset({'?a dbo:album.dbo:producer ?b'}),frozenset({'?a dbo:writer ?b'}),6802.0,56160.0,467.0,0.06865627756542193,1.2225120649113593e-06,-381999853.0,-60298.89786898185
43,frozenset({'?a dbo:writer ?b'}),frozenset({'?a dbo:album.dbo:producer ?b'}),56160.0,6802.0,467.0,0.008315527065527066,1.2225120649113593e-06,-381999853.0,-6858.0281184349915
44,frozenset({'?a dbo:album.dbo:producer ?b'}),frozenset({'?a dbo:producer ?b'}),6802.0,76397.0,1983.0,0.29153190238165244,3.816012440038908e-06,-519650411.0,-107832.6607179913
45,frozenset({'?a dbo:producer ?b'}),frozenset({'?a dbo:album.dbo:producer ?b'}),76397.0,6802.0,1983.0,0.025956516617144654,3.816012440038908e-06,-519650411.0,-6982.234485446287
46,frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),frozenset({'?a dbo:junction ?b'}),6111.0,22898.0,139.0,0.022745868106692848,9.933561056290003e-07,-139929539.0,-23429.9341929002
47,frozenset({'?a dbo:junction ?b'}),frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),22898.0,6111.0,139.0,0.006070399161498821,9.933561056290003e-07,-139929539.0,-6147.316665934356
48,frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),frozenset({'?a dbo:endingTerminus ?b'}),6111.0,13423.0,194.0,0.031746031746031744,2.3650474369389664e-06,-82027759.0,-13862.065573770491
49,frozenset({'?a dbo:endingTerminus ?b'}),frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),13423.0,6111.0,194.0,0.014452804887134024,2.3650474369389664e-06,-82027759.0,-6199.601632776476
50,frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),frozenset({'?a dbo:road ?b'}),6111.0,12105.0,170.0,0.027818687612502044,2.2981154574557657e-06,-73973485.0,-12450.35246591483
51,frozenset({'?a dbo:road ?b'}),frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),12105.0,6111.0,170.0,0.014043783560512184,2.2981154574557657e-06,-73973485.0,-6197.029744449099
52,frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),frozenset({'?a dbo:startingTerminus ?b'}),6111.0,14089.0,366.0,0.059891998036327936,4.250975799299307e-06,-86097513.0,-14985.51227154047
53,frozenset({'?a dbo:startingTerminus ?b'}),frozenset({'?a dbo:startingTerminus.dbo:startingTerminus ?b'}),14089.0,6111.0,366.0,0.025977713109518064,4.250975799299307e-06,-86097513.0,-6272.957079355826
54,frozenset({'?b dbo:borders ?a'}),frozenset({'?a dbo:borders ?b'}),391.0,391.0,284.0,0.7263427109974424,0.0018576539923208246,-152597.0,-1425.1401869158876
55,frozenset({'?a dbo:borders ?b'}),frozenset({'?b dbo:borders ?a'}),391.0,391.0,284.0,0.7263427109974424,0.0018576539923208246,-152597.0,-1425.1401869158876
56,frozenset({'?a dbo:borders.dbo:borders ?b'}),frozenset({'?a dbo:borders ?b'}),942.0,391.0,289.0,0.3067940552016985,0.0007846395273700729,-368033.0,-562.60336906585
57,frozenset({'?a dbo:borders ?b'}),frozenset({'?a dbo:borders.dbo:borders ?b'}),391.0,942.0,289.0,0.7391304347826086,0.0007846395273700729,-368033.0,-3607.166666666666
58,frozenset({'?b dbo:borders ?a'}),frozenset({'?a dbo:borders.dbo:borders ?b'}),391.0,942.0,287.0,0.7340153452685422,0.0007792094960387921,-368035.0,-3537.7980769230767
59,frozenset({'?a dbo:borders.dbo:borders ?b'}),frozenset({'?b dbo:borders ?a'}),942.0,391.0,287.0,0.3046709129511677,0.0007792094960387921,-368035.0,-560.8854961832061
60,frozenset({'?a dbo:after ?b'}),frozenset({'?a dbo:title.dbo:manager ?b'}),108623.0,2154.0,125.0,0.001150769174115979,5.342475274447442e-07,-233973817.0,-2155.480460469317
61,frozenset({'?a dbo:title.dbo:manager ?b'}),frozenset({'?a dbo:after ?b'}),2154.0,108623.0,125.0,0.058031569173630455,5.342475274447442e-07,-233973817.0,-115313.84327254805
62,frozenset({'?b dbo:title.dbo:manager ?a'}),frozenset({'?a dbo:relatedInstance ?b'}),2154.0,409613.0,112.0,0.051996285979572884,1.2694002870898356e-07,-882306290.0,-432078.4760039177
63,frozenset({'?a dbo:relatedInstance ?b'}),frozenset({'?b dbo:title.dbo:manager ?a'}),409613.0,2154.0,112.0,0.0002734288218391506,1.2694002870898356e-07,-882306290.0,-2153.5888532628737
64,frozenset({'?a dbo:caption ?b'}),frozenset({'?a dbo:nearSe.dbo:caption ?b'}),8912.0,299.0,252.0,0.02827648114901257,9.457017106693167e-05,-2664436.0,-306.6715935334873
65,frozenset({'?a dbo:nearSe.dbo:caption ?b'}),frozenset({'?a dbo:caption ?b'}),299.0,8912.0,252.0,0.842809364548495,9.457017106693167e-05,-2664436.0,-56689.127659574464
66,frozenset({'?a dbo:album ?b'}),frozenset({'?a dbo:tracks.dbo:fromAlbum ?b'}),3754.0,496.0,234.0,0.06233351092168354,0.00012567240105178132,-1861750.0,-527.90625
67,frozenset({'?a dbo:tracks.dbo:fromAlbum ?b'}),frozenset({'?a dbo:album ?b'}),496.0,3754.0,234.0,0.4717741935483871,0.00012567240105178134,-1861750.0,-7104.916030534351
68,frozenset({'?a dbo:misc ?b'}),frozenset({'?a dbo:misc.dbo:misc ?b'}),6346.0,190.0,172.0,0.027103687362117868,0.00014265098611640983,-1205568.0,-194.26530612244898
69,frozenset({'?a dbo:misc.dbo:misc ?b'}),frozenset({'?a dbo:misc ?b'}),190.0,6346.0,172.0,0.9052631578947369,0.00014265098611640985,-1205568.0,-66975.00000000003
70,frozenset({'?a dbo:domain ?b'}),frozenset({'?a dbo:classis.dbo:domain ?b'}),328.0,293.0,107.0,0.32621951219512196,0.0011133771747273786,-95997.0,-433.3755656108597
71,frozenset({'?a dbo:classis.dbo:domain ?b'}),frozenset({'?a dbo:domain ?b'}),293.0,328.0,107.0,0.3651877133105802,0.0011133771747273786,-95997.0,-515.1129032258065
72,frozenset({'?a dbo:park ?b'}),frozenset({'?a dbo:land.dbo:park ?b'}),249.0,226.0,108.0,0.43373493975903615,0.0019191811493762662,-56166.0,-397.34042553191495
73,frozenset({'?a dbo:land.dbo:park ?b'}),frozenset({'?a dbo:park ?b'}),226.0,249.0,108.0,0.4778761061946903,0.0019191811493762662,-56166.0,-474.9830508474577
74,frozenset({'?a dbo:subfamilia.dbo:divisio ?b'}),frozenset({'?a dbo:divisio ?b'}),1619.0,10514.0,1267.0,0.7825818406423718,7.443236072307131e-05,-17020899.0,-48353.82670454545
75,frozenset({'?a dbo:divisio ?b'}),frozenset({'?a dbo:subfamilia.dbo:divisio ?b'}),10514.0,1619.0,1267.0,0.12050599201065246,7.443236072307131e-05,-17020899.0,-1839.6941710825133
76,frozenset({'?a dbo:whs ?b'}),frozenset({'?b dbo:whs ?a'}),252.0,252.0,189.0,0.75,0.002976190476190476,-63315.0,-1004.0
77,frozenset({'?b dbo:whs ?a'}),frozenset({'?a dbo:whs ?b'}),252.0,252.0,189.0,0.75,0.002976190476190476,-63315.0,-1004.0
78,frozenset({'?a dbo:whs ?b'}),frozenset({'?a dbo:whs.dbo:whs ?b'}),252.0,246.0,236.0,0.9365079365079365,0.003806942831333075,-61756.0,-3858.75
79,frozenset({'?a dbo:whs.dbo:whs ?b'}),frozenset({'?a dbo:whs ?b'}),246.0,252.0,236.0,0.959349593495935,0.003806942831333075,-61756.0,-6174.6
80,frozenset({'?a dbo:whs.dbo:whs ?b'}),frozenset({'?b dbo:whs ?a'}),246.0,252.0,187.0,0.7601626016260162,0.0030165182604206995,-61805.0,-1046.5423728813557
81,frozenset({'?b dbo:whs ?a'}),frozenset({'?a dbo:whs.dbo:whs ?b'}),252.0,246.0,187.0,0.7420634920634921,0.0030165182604206995,-61805.0,-949.8461538461539
82,frozenset({'?a dbo:rd1Team04 ?b'}),frozenset({'?a dbo:rd2Team02 ?b'}),3768.0,4299.0,1190.0,0.31581740976645434,7.346299366514406e-05,-16197442.0,-6281.948797517455
83,frozenset({'?a dbo:rd2Team02 ?b'}),frozenset({'?a dbo:rd1Team04 ?b'}),4299.0,3768.0,1190.0,0.27680856013026284,7.346299366514406e-05,-16197442.0,-5208.855902219363
84,"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd2Team02 ?b')})",frozenset({'?a dbo:rd4Team01 ?b'}),1190.0,4240.0,149.0,0.12521008403361344,2.9530680196606945e-05,-5045451.0,-4845.734870317003
85,frozenset({'?a dbo:rd4Team01 ?b'}),"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd2Team02 ?b')})",4240.0,1190.0,149.0,0.03514150943396226,2.9530680196606945e-05,-5045451.0,-1232.305059887558
86,frozenset({'?a dbo:rd3Team01 ?b'}),"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd2Team02 ?b')})",4257.0,1190.0,321.0,0.07540521494009866,6.336572684041904e-05,-5065509.0,-1285.96875
87,"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd2Team02 ?b')})",frozenset({'?a dbo:rd3Team01 ?b'}),1190.0,4257.0,321.0,0.26974789915966385,6.336572684041904e-05,-5065509.0,-5828.124280782508
88,frozenset({'?a dbo:rd1Team04 ?b'}),frozenset({'?a dbo:rd4Team01 ?b'}),3768.0,4240.0,154.0,0.04087048832271762,9.639266113848495e-06,-15976166.0,-4419.632540121749
89,frozenset({'?a dbo:rd4Team01 ?b'}),frozenset({'?a dbo:rd1Team04 ?b'}),4240.0,3768.0,154.0,0.03632075471698113,9.639266113848495e-06,-15976166.0,-3908.976994615761
90,frozenset({'?a dbo:rd2Team02 ?b'}),"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd4Team01 ?b')})",4299.0,154.0,149.0,0.03465922307513375,0.0002250598900982711,-661897.0,-158.49325301204817
91,"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd4Team01 ?b')})",frozenset({'?a dbo:rd2Team02 ?b'}),154.0,4299.0,149.0,0.9675324675324676,0.00022505989009827113,-661897.0,-132378.40000000017
92,frozenset({'?a dbo:rd3Team01 ?b'}),"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd4Team01 ?b')})",4257.0,154.0,150.0,0.035236081747709654,0.00022880572563447826,-655428.0,-158.5880204528853
93,"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd4Team01 ?b')})",frozenset({'?a dbo:rd3Team01 ?b'}),154.0,4257.0,150.0,0.974025974025974,0.0002288057256344783,-655428.0,-163855.99999999994
94,frozenset({'?a dbo:road.dbo:markerImage ?b'}),frozenset({'?a dbo:road ?b'}),746.0,12105.0,153.0,0.20509383378016086,1.694290241884848e-05,-9030177.0,-15226.954468802698
95,frozenset({'?a dbo:road ?b'}),frozenset({'?a dbo:road.dbo:markerImage ?b'}),12105.0,746.0,153.0,0.012639405204460967,1.694290241884848e-05,-9030177.0,-754.5368975903614
96,frozenset({'?a dbo:rd1Team04 ?b'}),frozenset({'?a dbo:rd3Team01 ?b'}),3768.0,4257.0,324.0,0.08598726114649681,2.0199027753464133e-05,-16040052.0,-4656.390243902439
97,frozenset({'?a dbo:rd3Team01 ?b'}),frozenset({'?a dbo:rd1Team04 ?b'}),4257.0,3768.0,324.0,0.07610993657505286,2.0199027753464133e-05,-16040052.0,-4077.3249427917617
98,frozenset({'?a dbo:rd2Team02 ?b'}),"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd3Team01 ?b')})",4299.0,324.0,321.0,0.07466852756454989,0.0002304584184091046,-1392555.0,-349.06410256410254
99,"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd3Team01 ?b')})",frozenset({'?a dbo:rd2Team02 ?b'}),324.0,4299.0,321.0,0.9907407407407407,0.0002304584184091046,-1392555.0,-464183.99999999796
100,"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd3Team01 ?b')})",frozenset({'?a dbo:rd4Team01 ?b'}),324.0,4240.0,150.0,0.46296296296296297,0.00010918937805730259,-1373610.0,-7893.310344827587
101,frozenset({'?a dbo:rd4Team01 ?b'}),"frozenset({('?a dbo:rd1Team04 ?b', '?a dbo:rd3Team01 ?b')})",4240.0,324.0,150.0,0.03537735849056604,0.00010918937805730259,-1373610.0,-334.8459657701711
102,frozenset({'?a dbo:image ?b'}),frozenset({'?a dbo:predecessor.dbo:image ?b'}),165332.0,5137.0,125.0,0.0007560544843103574,1.471782138038461e-07,-849310359.0,-5139.886033884763
103,frozenset({'?a dbo:predecessor.dbo:image ?b'}),frozenset({'?a dbo:image ?b'}),5137.0,165332.0,125.0,0.02433326844461748,1.4717821380384607e-07,-849310359.0,-169454.3788906624
104,frozenset({'?a dbo:youthclubs.dbo:country ?b'}),frozenset({'?a dbo:countryofbirth ?b'}),455.0,18207.0,277.0,0.6087912087912087,3.34372059532712e-05,-8283908.0,-46537.80898876404
105,frozenset({'?a dbo:countryofbirth ?b'}),frozenset({'?a dbo:youthclubs.dbo:country ?b'}),18207.0,455.0,277.0,0.015213928708738398,3.343720595327121e-05,-8283908.0,-461.0138315672058
106,frozenset({'?a dbo:genre ?b'}),frozenset({'?a dbo:nextSingle.dbo:genre ?b'}),159449.0,12011.0,7279.0,0.04565096049520536,3.8007626754812557e-06,-1915134660.0,-12584.49424985214
107,frozenset({'?a dbo:nextSingle.dbo:genre ?b'}),frozenset({'?a dbo:genre ?b'}),12011.0,159449.0,7279.0,0.6060278078428107,3.8007626754812557e-06,-1915134660.0,-404718.91969568894
108,frozenset({'?a dbo:subtribus.dbo:familia ?b'}),frozenset({'?a dbo:familia ?b'}),270.0,37824.0,269.0,0.9962962962962963,2.634032086231748e-05,-10212211.0,-10212210.000000138
109,frozenset({'?a dbo:familia ?b'}),frozenset({'?a dbo:subtribus.dbo:familia ?b'}),37824.0,270.0,269.0,0.007111886632825719,2.6340320862317478e-05,-10212211.0,-270.92680069231795
