,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a dbo:superordo ?b'}),frozenset({'?a dbo:infraordo.dbo:superordo ?b'}),1338.0,519.0,353.0,0.26382660687593423,0.0005083364294333993,-694069.0,-703.6385786802031
1,frozenset({'?a dbo:infraordo.dbo:superordo ?b'}),frozenset({'?a dbo:superordo ?b'}),519.0,1338.0,353.0,0.6801541425818882,0.0005083364294333993,-694069.0,-4180.138554216867
2,frozenset({'?a dbo:battles.dbo:result ?b'}),frozenset({'?a dbo:allegiance ?b'}),7004.0,4181.0,137.0,0.019560251284980013,4.678366726854822e-06,-29283587.0,-4263.393039172855
3,frozenset({'?a dbo:allegiance ?b'}),frozenset({'?a dbo:battles.dbo:result ?b'}),4181.0,7004.0,137.0,0.03276728055489118,4.678366726854823e-06,-29283587.0,-7240.243076162215
4,frozenset({'?a dbo:trainer.dbo:wikiPageUsesTemplate ?b'}),frozenset({'?a dbo:wikiPageUsesTemplate ?b'}),855.0,1623090.0,466.0,0.5450292397660819,3.3579730006720627e-07,-1387741484.0,-3567457.827763496
5,frozenset({'?a dbo:wikiPageUsesTemplate ?b'}),frozenset({'?a dbo:trainer.dbo:wikiPageUsesTemplate ?b'}),1623090.0,855.0,466.0,0.0002871066915574614,3.357973000672063e-07,-1387741484.0,-854.2452595302424
6,frozenset({'?a dbo:nearW.dbo:lga ?b'}),frozenset({'?a dbo:lga ?b'}),409.0,1370.0,250.0,0.6112469437652812,0.0004461656523834169,-560080.0,-3521.5157232704405
7,frozenset({'?a dbo:lga ?b'}),frozenset({'?a dbo:nearW.dbo:lga ?b'}),1370.0,409.0,250.0,0.18248175182481752,0.0004461656523834169,-560080.0,-499.07142857142856
8,frozenset({'?a dbo:alliances ?b'}),frozenset({'?b dbo:members ?a'}),4137.0,2205.0,545.0,0.1317379743775683,5.974511309640285e-05,-9121540.0,-2538.404231625835
9,frozenset({'?b dbo:members ?a'}),frozenset({'?a dbo:alliances ?b'}),2205.0,4137.0,545.0,0.2471655328798186,5.974511309640285e-05,-9121540.0,-5493.903614457831
10,frozenset({'?a dbo:previousAlliances ?b'}),frozenset({'?b dbo:members ?a'}),1033.0,2205.0,121.0,0.11713455953533398,5.312224922237369e-05,-2277644.0,-2496.416666666667
11,frozenset({'?b dbo:members ?a'}),frozenset({'?a dbo:previousAlliances ?b'}),2205.0,1033.0,121.0,0.05487528344671202,5.3122249222373686e-05,-2277644.0,-1091.9193857965452
12,frozenset({'?a dbo:cover ?b'}),frozenset({'?a dbo:tracks.dbo:cover ?b'}),58418.0,868.0,101.0,0.001728919168749358,1.9918423603103203e-06,-50706723.0,-868.5015690107516
13,frozenset({'?a dbo:tracks.dbo:cover ?b'}),frozenset({'?a dbo:cover ?b'}),868.0,58418.0,101.0,0.11635944700460829,1.9918423603103203e-06,-50706723.0,-66109.46023468058
14,frozenset({'?a dbo:rd1Team15 ?b'}),frozenset({'?a dbo:rd3Team04 ?b'}),3603.0,4234.0,1159.0,0.32167638079378297,7.597458214307581e-05,-15253943.0,-6240.3842062193135
15,frozenset({'?a dbo:rd3Team04 ?b'}),frozenset({'?a dbo:rd1Team15 ?b'}),4234.0,3603.0,1159.0,0.2737364194615021,7.59745821430758e-05,-15253943.0,-4959.6318699186995
16,frozenset({'?a dbo:rd3Team ?b'}),"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",1938.0,1159.0,137.0,0.07069143446852426,6.09934723628337e-05,-2246005.0,-1246.0877290394226
17,"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",frozenset({'?a dbo:rd3Team ?b'}),1159.0,1938.0,137.0,0.1182053494391717,6.099347236283369e-05,-2246005.0,-2196.656555772994
18,frozenset({'?a dbo:rd2Team08 ?b'}),"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",4261.0,1159.0,1155.0,0.27106313072048815,0.00023387673056124948,-4937344.0,-1588.6149388280746
19,"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",frozenset({'?a dbo:rd2Team08 ?b'}),1159.0,4261.0,1155.0,0.996548748921484,0.00023387673056124948,-4937344.0,-1234335.0000000007
20,frozenset({'?a dbo:rd1Team ?b'}),"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",8847.0,1159.0,520.0,0.058776986549112696,5.0713534554885844e-05,-10253153.0,-1230.314158760658
21,"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",frozenset({'?a dbo:rd1Team ?b'}),1159.0,8847.0,520.0,0.4486626402070751,5.0713534554885844e-05,-10253153.0,-16044.622848200312
22,"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",frozenset({'?a dbo:rd2Team ?b'}),1159.0,4276.0,287.0,0.24762726488352027,5.791095998211419e-05,-4955597.0,-5682.024082568807
23,frozenset({'?a dbo:rd2Team ?b'}),"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",4276.0,1159.0,287.0,0.06711880261927035,5.7910959982114193e-05,-4955597.0,-1241.3156179493608
24,frozenset({'?a dbo:rd4Team02 ?b'}),"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",4247.0,1159.0,818.0,0.1926065457970332,0.00016618338722781124,-4921455.0,-1434.2449693788276
25,"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd3Team04 ?b')})",frozenset({'?a dbo:rd4Team02 ?b'}),1159.0,4247.0,818.0,0.7057808455565142,0.0001661833872278112,-4921455.0,-14431.419354838708
26,frozenset({'?a dbo:rd1Team15 ?b'}),frozenset({'?a dbo:rd2Team ?b'}),3603.0,4276.0,288.0,0.07993338884263114,1.8693495987518975e-05,-15406140.0,-4646.402714932126
27,frozenset({'?a dbo:rd2Team ?b'}),frozenset({'?a dbo:rd1Team15 ?b'}),4276.0,3603.0,288.0,0.06735266604303088,1.869349598751898e-05,-15406140.0,-3862.124373119358
28,"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd2Team ?b')})",frozenset({'?a dbo:rd3Team04 ?b'}),288.0,4234.0,287.0,0.9965277777777778,0.00023536319739673542,-1219105.0,-1219104.0000000044
29,frozenset({'?a dbo:rd3Team04 ?b'}),"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd2Team ?b')})",4234.0,288.0,287.0,0.06778460085025981,0.00023536319739673545,-1219105.0,-307.86876108436786
30,"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd2Team ?b')})",frozenset({'?a dbo:rd3Team ?b'}),288.0,1938.0,137.0,0.4756944444444444,0.0002454563696823759,-558007.0,-3694.41059602649
31,frozenset({'?a dbo:rd3Team ?b'}),"frozenset({('?a dbo:rd1Team15 ?b', '?a dbo:rd2Team ?b')})",1938.0,288.0,137.0,0.07069143446852426,0.0002454563696823759,-558007.0,-308.8317601332593
