Assuming 9 as type relation
Loading files... 
  Starting dbpedia3.8.nt
  Finished dbpedia3.8.nt, still running: 0
Loaded 11024066 facts in 1 min, 15 s using 32670 MB
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 32 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  <dbo:highestPlace>  ?b   => ?a  <dbo:highestMountain>  ?b	1	0.158021713	0.942446043	131	829	139	-2
?b  <dbo:stylisticOrigin>  ?a   => ?a  <dbo:musicSubgenre>  ?b	0.292682927	0.041331803	0.148965517	108	2613	725	-2
?b  <dbo:currentPartner>  ?a   => ?a  <dbo:currentPartner>  ?b	0.86985173	0.86985173	0.986915888	528	607	535	-2
?b  <dbo:spokenIn>  ?a   => ?a  <dbo:officialLanguage>  ?b	0.270875764	0.009265064	0.020333282	133	14355	6541	-1
?a  <dbo:firstRace>  ?b   => ?a  <dbo:lastRace>  ?b	0.210850801	0.203571429	0.210850801	171	840	811	-1
?a  <dbo:language>  ?b   => ?a  <dbo:officialLanguage>  ?b	1	0.005877917	0.627877238	491	83533	782	-1
?b  <dbo:innervates>  ?a   => ?a  <dbo:nerve>  ?b	0.245119306	0.610810811	0.724358974	113	185	156	-1
?a  <dbo:sourceRegion>  ?b   => ?a  <dbo:mouthRegion>  ?b	0.321156773	0.256379101	0.427125506	211	823	494	-1
?a  <dbo:region>  ?b   => ?a  <dbo:mouthRegion>  ?b	0.289193303	0.002917287	0.444964871	190	65129	427	-1
?b  <dbo:primeMinister>  ?a   => ?a  <dbo:deputy>  ?b	0.152860803	0.025942029	0.50140056	179	6900	357	-2
?a  <dbo:district>  ?b   => ?a  <dbo:mouthRegion>  ?b	0.178082192	0.001888193	0.410526316	117	61964	285	-1
?a  <dbo:successor>  ?b   => ?a  <dbo:deputy>  ?b	0.204099061	0.003944936	0.200167504	239	60584	1194	-2
?b  <dbo:nextMission>  ?a   => ?a  <dbo:previousMission>  ?b	0.959232614	0.950118765	0.975609756	400	421	410	-1
?a  <dbo:thirdTeam>  ?b   => ?a  <dbo:secondTeam>  ?b	0.177419355	0.177083333	0.179807692	187	1056	1040	-1
?a  <dbo:fastestDriverTeam>  ?b   => ?a  <dbo:secondTeam>  ?b	0.361480076	0.360113422	0.364942529	381	1058	1044	-1
?a  <dbo:poleDriverTeam>  ?b   => ?a  <dbo:secondTeam>  ?b	0.34345351	0.347742555	0.355599214	362	1041	1018	-1
?a  <dbo:firstDriverTeam>  ?b   => ?a  <dbo:secondTeam>  ?b	0.294117647	0.294396961	0.296934866	310	1053	1044	-1
?a  <dbo:secondTeam>  ?b   => ?a  <dbo:fastestDriverTeam>  ?b	0.360113422	0.361480076	0.367760618	381	1054	1036	-1
?a  <dbo:thirdTeam>  ?b   => ?a  <dbo:fastestDriverTeam>  ?b	0.241965974	0.242424242	0.246865959	256	1056	1037	-1
?a  <dbo:firstDriverTeam>  ?b   => ?a  <dbo:fastestDriverTeam>  ?b	0.56710775	0.56980057	0.578592093	600	1053	1037	-1
?a  <dbo:poleDriverTeam>  ?b   => ?a  <dbo:fastestDriverTeam>  ?b	0.495274102	0.503362152	0.512218964	524	1041	1023	-1
?b  <dbo:lieutenant>  ?a   => ?a  <dbo:governor>  ?b	0.28442664	0.423564504	0.979310345	568	1341	580	-1
?a  <dbo:location>  ?b   => ?a  <dbo:governingBody>  ?b	0.061769616	0.000448302	0.048429319	111	247601	2292	-1
?b  <dbo:successor>  ?a   => ?a  <dbo:governor>  ?b	0.158738107	0.005232405	0.229211858	317	60584	1383	-1
?b  <dbo:parentCompany>  ?a   => ?a  <dbo:subsidiary>  ?b	0.304347826	0.112487733	0.769295302	917	8152	1192	-2
?b  <dbo:owner>  ?a   => ?a  <dbo:subsidiary>  ?b	0.045469632	0.003680619	0.507407407	137	37222	270	-2
?b  <dbo:owningCompany>  ?a   => ?a  <dbo:subsidiary>  ?b	0.043478261	0.013841927	0.490636704	131	9464	267	-2
?a  <dbo:fastestDriverTeam>  ?b   => ?a  <dbo:poleDriverTeam>  ?b	0.503362152	0.495274102	0.509232264	524	1058	1029	-1
?a  <dbo:firstDriverTeam>  ?b   => ?a  <dbo:poleDriverTeam>  ?b	0.521613833	0.515669516	0.534448819	543	1053	1016	-1
?a  <dbo:secondTeam>  ?b   => ?a  <dbo:poleDriverTeam>  ?b	0.347742555	0.34345351	0.355948869	362	1054	1017	-1
?a  <dbo:thirdTeam>  ?b   => ?a  <dbo:poleDriverTeam>  ?b	0.236311239	0.232954545	0.240469208	246	1056	1023	-1
?a  <dbo:industry>  ?b   => ?a  <dbo:service>  ?b	0.069192751	0.007375754	0.152819891	252	34166	1649	-1
?a  <dbo:sourceCountry>  ?b   => ?a  <dbo:mouthCountry>  ?b	0.648114901	0.028234006	0.80941704	361	12786	446	-1
?a  <dbo:headquarter>  ?b   => ?a  <dbo:jurisdiction>  ?b	0.094936709	0.006063279	0.093273036	165	27213	1769	-1
?a  <dbo:location>  ?b   => ?a  <dbo:jurisdiction>  ?b	0.094936709	0.000666395	0.093273036	165	247601	1769	-1
?b  <dbo:usingCountry>  ?a   => ?a  <dbo:currency>  ?b	0.173638516	0.523809524	0.650887574	220	420	338	-1
?a  <dbo:country>  ?b   => ?a  <dbo:mouthCountry>  ?b	0.951526032	0.000906065	0.770348837	530	584947	688	-1
?b  <dbo:musicSubgenre>  ?a   => ?a  <dbo:stylisticOrigin>  ?b	0.041331803	0.292682927	0.381625442	108	369	283	-1
?b  <dbo:musicFusionGenre>  ?a   => ?a  <dbo:stylisticOrigin>  ?b	0.051282051	0.413580247	0.485507246	134	324	276	-1
?b  <dbo:derivative>  ?a   => ?a  <dbo:stylisticOrigin>  ?b	0.074626866	0.390781563	0.467625899	195	499	417	-1
?a  <dbo:sourcePlace>  ?b   => ?a  <dbo:leftTributary>  ?b	0.038737446	0.034763948	0.97005988	162	4660	167	-2
?a  <dbo:sourceMountain>  ?b   => ?a  <dbo:leftTributary>  ?b	0.038737446	0.034763948	0.97005988	162	4660	167	-2
?b  <dbo:populationPlace>  ?a   => ?a  <dbo:ethnicGroup>  ?b	0.132606721	0.014837398	0.104509664	146	9840	1397	-2
?b  <dbo:riverMouth>  ?a   => ?a  <dbo:leftTributary>  ?b	0.816834051	0.209596269	0.967705382	3416	16298	3530	-2
?a  <dbo:sourceConfluenceMountain>  ?b   => ?a  <dbo:sourceConfluencePlace>  ?b	1	1	1	107	107	107	-2
?b  <dbo:author>  ?a   => ?a  <dbo:notableWork>  ?b	0.387372014	0.045286138	0.912693854	1589	35088	1741	-2
?b  <dbo:creator>  ?a   => ?a  <dbo:notableWork>  ?b	0.039005363	0.007207857	0.507936508	160	22198	315	-2
?b  <dbo:writer>  ?a   => ?a  <dbo:notableWork>  ?b	0.041199415	0.001280119	0.473389356	169	132019	357	-2
?a  <dbo:highestState>  ?b   => ?a  <dbo:municipality>  ?b	0.12763656	0.786666667	0.987447699	236	300	239	-1
?a  <dbo:region>  ?b   => ?a  <dbo:daylightSavingTimeZone>  ?b	0.032671629	0.002425955	0.036959064	158	65129	4275	-1
?a  <dbo:state>  ?b   => ?a  <dbo:daylightSavingTimeZone>  ?b	0.032258065	0.003170152	0.036896878	156	49209	4228	-1
?a  <dbo:executiveProducer>  ?b   => ?a  <dbo:presenter>  ?b	0.015473608	0.014585605	0.276485788	107	7336	387	-2
?b  <dbo:knownFor>  ?a   => ?a  <dbo:presenter>  ?b	0.018221258	0.005254598	0.310344828	126	23979	406	-2
?a  <dbo:creator>  ?b   => ?a  <dbo:presenter>  ?b	0.030513377	0.009505361	0.156760773	211	22198	1346	-2
?a  <dbo:mouthMountain>  ?b   => ?a  <dbo:mouthPlace>  ?b	1	1	1	5508	5508	5508	-1
?a  <dbo:timeZone>  ?b   => ?a  <dbo:daylightSavingTimeZone>  ?b	0.606492969	0.014823613	0.606869439	2933	197860	4833	-1
?a  <dbo:city>  ?b   => ?a  <dbo:mouthPlace>  ?b	0.283224401	0.01843122	0.283018868	1560	84639	5512	-1
?a  <dbo:author>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.056842966	0.011884405	0.22675367	417	35088	1839	-1
?a  <dbo:presenter>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.014585605	0.015473608	0.131127451	107	6915	816	-1
?a  <dbo:developer>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.028353326	0.008387773	0.327044025	208	24798	636	-1
?a  <dbo:director>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.03653217	0.003565489	0.106180666	268	75165	2524	-1
?a  <dbo:creator>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.253271538	0.083701234	0.564055859	1858	22198	3294	-1
?a  <dbo:starring>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.056025082	0.001602564	0.028988574	411	256464	14178	-1
?a  <dbo:company>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.019083969	0.020281037	0.053537285	140	6903	2615	-1
?a  <dbo:producer>  ?b   => ?a  <dbo:executiveProducer>  ?b	0.019083969	0.000729326	0.082207868	140	191958	1703	-1
?b  <dbo:region>  ?a   => ?a  <dbo:largestCity>  ?b	0.070741097	0.002257059	0.025587467	147	65129	5745	-1
?b  <dbo:isPartOf>  ?a   => ?a  <dbo:largestCity>  ?b	0.727141482	0.002771765	0.02233324	1511	545140	67657	-1
?a  <dbo:countySeat>  ?b   => ?a  <dbo:largestCity>  ?b	0.53705486	0.370149254	0.69924812	1116	3015	1596	-1
?a  <dbo:type>  ?b   => ?a  <dbo:governmentType>  ?b	0.110788442	0.00242747	0.145777608	763	314319	5234	-1
?b  <dbo:doctoralAdvisor>  ?a   => ?a  <dbo:doctoralStudent>  ?b	0.343268451	0.469755827	0.912176724	1693	3604	1856	-2
?a  <dbo:residence>  ?b   => ?a  <dbo:citizenship>  ?b	0.18611182	0.020275908	0.311405382	729	35954	2341	-1
?a  <dbo:education>  ?b   => ?a  <dbo:citizenship>  ?b	0.026040337	0.009313367	0.071179344	102	10952	1433	-1
?a  <dbo:stateOfOrigin>  ?b   => ?a  <dbo:citizenship>  ?b	0.1286699	0.030130926	0.748885587	504	16727	673	-1
?a  <dbo:nationality>  ?b   => ?a  <dbo:citizenship>  ?b	0.309675772	0.020705665	0.701156069	1213	58583	1730	-1
?a  <dbo:deathPlace>  ?b   => ?a  <dbo:citizenship>  ?b	0.113096758	0.002217484	0.198210291	443	199776	2235	-1
?a  <dbo:birthPlace>  ?b   => ?a  <dbo:citizenship>  ?b	0.256063314	0.0013047	0.177773839	1003	768759	5642	-1
?a  <dbo:designCompany>  ?b   => ?a  <dbo:designer>  ?b	0.113294041	1	1	1038	1038	1038	-1
?a  <dbo:predecessor>  ?b   => ?a  <dbo:relatedMeanOfTransportation>  ?b	0.015458422	0.008113023	0.120207254	116	14298	965	-1
?b  <dbo:relatedMeanOfTransportation>  ?a   => ?a  <dbo:relatedMeanOfTransportation>  ?b	0.157116205	0.157116205	0.378856041	1179	7504	3112	-1
