,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a dbo:residence ?b'}),frozenset({'?a dbo:stateOfOrigin.dbo:capital ?b'}),35954.0,12454.0,217.0,0.006035489792512655,4.846225945489525e-07,-447770899.0,-12528.616336010298
1,frozenset({'?a dbo:stateOfOrigin.dbo:capital ?b'}),frozenset({'?a dbo:residence ?b'}),12454.0,35954.0,217.0,0.01742412076441304,4.846225945489526e-07,-447770899.0,-36590.55830677453
2,frozenset({'?a dbo:starring ?b'}),frozenset({'?a dbo:starring.dbo:partner ?b'}),256464.0,6006.0,228.0,0.0008890136627362905,1.4802092286651522e-07,-1540322556.0,-6010.343277291247
3,frozenset({'?a dbo:starring.dbo:partner ?b'}),frozenset({'?a dbo:starring ?b'}),6006.0,256464.0,228.0,0.03796203796203796,1.4802092286651522e-07,-1540322556.0,-266583.0353063344
4,frozenset({'?a dbo:deathPlace ?b'}),frozenset({'?a dbo:stateOfOrigin.dbo:capital ?b'}),199776.0,12454.0,425.0,0.0021273826685888194,1.708192282470547e-07,-2488009879.0,-12479.548775777397
5,frozenset({'?a dbo:stateOfOrigin.dbo:capital ?b'}),frozenset({'?a dbo:deathPlace ?b'}),12454.0,199776.0,425.0,0.0341255821422836,1.708192282470547e-07,-2488009879.0,-206833.30700806383
6,frozenset({'?a dbo:birthPlace ?b'}),frozenset({'?a dbo:stateOfOrigin.dbo:capital ?b'}),768759.0,12454.0,768.0,0.000999012694485528,8.021621121611755e-08,-9574123818.0,-12465.453145935304
7,frozenset({'?a dbo:stateOfOrigin.dbo:capital ?b'}),frozenset({'?a dbo:birthPlace ?b'}),12454.0,768759.0,768.0,0.06166693431829131,8.021621121611755e-08,-9574123818.0,-819280.5178846483
8,frozenset({'?a dbo:assembly.dbo:isPartOf ?b'}),frozenset({'?a dbo:assembly ?b'}),6864.0,10888.0,232.0,0.0337995337995338,3.1042922299351398e-06,-74735000.0,-11267.84800965018
9,frozenset({'?a dbo:assembly ?b'}),frozenset({'?a dbo:assembly.dbo:isPartOf ?b'}),10888.0,6864.0,232.0,0.0213078618662748,3.1042922299351398e-06,-74735000.0,-7012.419669669669
10,frozenset({'?a dbo:country ?b'}),frozenset({'?a dbo:openingTheme.dbo:hometown ?b'}),584947.0,1333.0,302.0,0.0005162860908766093,3.873113960064586e-07,-779734049.0,-1332.6880483028162
11,frozenset({'?a dbo:openingTheme.dbo:hometown ?b'}),frozenset({'?a dbo:country ?b'}),1333.0,584947.0,302.0,0.22655663915978994,3.873113960064586e-07,-779734049.0,-756288.0872938895
12,frozenset({'?a dbo:headquarter.dbo:largestCity ?b'}),frozenset({'?a dbo:headquarter ?b'}),5569.0,27213.0,1246.0,0.22373855270246004,8.221752570553047e-06,-151547951.0,-35055.19962988665
13,frozenset({'?a dbo:headquarter ?b'}),frozenset({'?a dbo:headquarter.dbo:largestCity ?b'}),27213.0,5569.0,1246.0,0.04578694006540991,8.221752570553045e-06,-151547951.0,-5835.174798783071
14,frozenset({'?a dbo:branchFrom ?b'}),frozenset({'?b dbo:branchTo ?a'}),595.0,254.0,170.0,0.2857142857142857,0.001124859392575928,-150960.0,-354.2
15,frozenset({'?b dbo:branchTo ?a'}),frozenset({'?a dbo:branchFrom ?b'}),254.0,595.0,170.0,0.6692913385826772,0.0011248593925759281,-150960.0,-1796.1428571428573
16,frozenset({'?a dbo:formerCoach.dbo:country ?b'}),frozenset({'?a dbo:country ?b'}),491.0,584947.0,206.0,0.4195519348268839,7.172477759983108e-07,-287208771.0,-1007749.0736842105
17,frozenset({'?a dbo:country ?b'}),frozenset({'?a dbo:formerCoach.dbo:country ?b'}),584947.0,491.0,206.0,0.0003521686580151706,7.172477759983108e-07,-287208771.0,-490.17262343499084
18,frozenset({'?a dbo:broadcastNetwork.dbo:sisterStation ?b'}),frozenset({'?a dbo:sisterStation ?b'}),4477.0,26871.0,103.0,0.023006477551932098,8.561824104771723e-07,-120301364.0,-27502.74119798811
19,frozenset({'?a dbo:sisterStation ?b'}),frozenset({'?a dbo:broadcastNetwork.dbo:sisterStation ?b'}),26871.0,4477.0,103.0,0.0038331286517063004,8.561824104771723e-07,-120301364.0,-4493.223102211596
20,frozenset({'?a dbo:district ?b'}),frozenset({'?a dbo:city.dbo:district ?b'}),61964.0,5707.0,547.0,0.00882770641017365,1.5468208183237515e-06,-353628001.0,-5756.819512512822
21,frozenset({'?a dbo:city.dbo:district ?b'}),frozenset({'?a dbo:district ?b'}),5707.0,61964.0,547.0,0.09584720518661294,1.5468208183237515e-06,-353628001.0,-68531.55833333333
22,frozenset({'?a dbo:previousWork.dbo:publisher ?b'}),frozenset({'?a dbo:publisher ?b'}),6368.0,46948.0,4588.0,0.7204773869346733,1.534628497347434e-05,-298960276.0,-167954.21123595504
23,frozenset({'?a dbo:publisher ?b'}),frozenset({'?a dbo:previousWork.dbo:publisher ?b'}),46948.0,6368.0,4588.0,0.09772514271108461,1.534628497347434e-05,-298960276.0,-7056.608026440037
24,frozenset({'?a dbo:language ?b'}),frozenset({'?a dbo:nationality.dbo:language ?b'}),83533.0,103925.0,169.0,0.002023152526546395,1.946742868940481e-08,-8681166856.0,-104134.68034163427
25,frozenset({'?a dbo:nationality.dbo:language ?b'}),frozenset({'?a dbo:language ?b'}),103925.0,83533.0,169.0,0.001626172720712052,1.946742868940481e-08,-8681166856.0,-83668.05871467675
26,frozenset({'?a dbo:district ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),61964.0,206886.0,368.0,0.005938932283261249,2.8706303390568953e-08,-12819483736.0,-208121.01662445613
27,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:district ?b'}),206886.0,61964.0,368.0,0.0017787573832932146,2.8706303390568953e-08,-12819483736.0,-62073.4135426452
28,frozenset({'?a dbo:jurisdiction ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),1738.0,206886.0,152.0,0.08745684695051784,4.2272965280646265e-07,-359567716.0,-226712.56620428752
29,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:jurisdiction ?b'}),206886.0,1738.0,152.0,0.0007347041365776321,4.2272965280646265e-07,-359567716.0,-1738.2771193901342
30,frozenset({'?a dbo:country ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),584947.0,206886.0,196.0,0.0003350730920921041,1.6196025448416234e-09,-121017344846.0,-206954.34483224485
31,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:country ?b'}),206886.0,584947.0,196.0,0.000947381649797473,1.6196025448416232e-09,-121017344846.0,-585500.6926121244
32,frozenset({'?a dbo:owner ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),37222.0,206886.0,389.0,0.010450808661544249,5.051481811985465e-08,-7700710303.0,-209069.95004479677
33,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:owner ?b'}),206886.0,37222.0,389.0,0.0018802625600572295,5.051481811985464e-08,-7700710303.0,-37291.11709128946
34,frozenset({'?a dbo:type ?b'}),frozenset({'?a dbo:predecessor.dbo:type ?b'}),314319.0,1395.0,503.0,0.0016002850607185694,1.1471577496190461e-06,-438474502.0,-1396.234373008387
35,frozenset({'?a dbo:predecessor.dbo:type ?b'}),frozenset({'?a dbo:type ?b'}),1395.0,314319.0,503.0,0.36057347670250894,1.1471577496190461e-06,-438474502.0,-491562.3430493273
36,frozenset({'?a dbo:formerBandMember.dbo:deathPlace ?b'}),frozenset({'?a dbo:hometown ?b'}),1705.0,82202.0,359.0,0.21055718475073315,2.561460606198549e-06,-140154051.0,-104125.338038633
37,frozenset({'?a dbo:hometown ?b'}),frozenset({'?a dbo:formerBandMember.dbo:deathPlace ?b'}),82202.0,1705.0,359.0,0.004367290333568526,2.561460606198549e-06,-140154051.0,-1711.4745060664932
38,frozenset({'?a dbo:state ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),49209.0,206886.0,681.0,0.013838931902700725,6.689158233375252e-08,-10180652493.0,-209788.2452398615
39,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:state ?b'}),206886.0,49209.0,681.0,0.003291667875061628,6.689158233375252e-08,-10180652493.0,-49370.51132610752
40,frozenset({'?a dbo:regionServed ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),10212.0,206886.0,209.0,0.020466118292205248,9.892461690112065e-08,-2112719623.0,-211207.59972008396
41,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:regionServed ?b'}),206886.0,10212.0,209.0,0.0010102181877942441,9.892461690112065e-08,-2112719623.0,-10221.325769195411
42,frozenset({'?a dbo:country ?b'}),frozenset({'?a dbo:lowestState.dbo:country ?b'}),584947.0,122.0,120.0,0.0002051467910767984,1.681531074399987e-06,-71363414.0,-121.02482785507509
43,frozenset({'?a dbo:lowestState.dbo:country ?b'}),frozenset({'?a dbo:country ?b'}),122.0,584947.0,120.0,0.9836065573770492,1.681531074399987e-06,-71363414.0,-35681705.99999996
44,frozenset({'?a dbo:parent.dbo:deathPlace ?b'}),frozenset({'?a dbo:restingPlace ?b'}),12939.0,13123.0,303.0,0.023417574773939253,1.7844680921998973e-06,-169798194.0,-13436.653846153846
45,frozenset({'?a dbo:restingPlace ?b'}),frozenset({'?a dbo:parent.dbo:deathPlace ?b'}),13123.0,12939.0,303.0,0.02308923264497447,1.7844680921998973e-06,-169798194.0,-13243.788923556942
46,frozenset({'?a dbo:foundationPlace ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),11548.0,206886.0,433.0,0.03749567024593003,1.8123831600944495e-07,-2389119095.0,-214944.48762932973
47,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:foundationPlace ?b'}),206886.0,11548.0,433.0,0.0020929400732770703,1.8123831600944495e-07,-2389119095.0,-11571.217865567465
48,frozenset({'?a dbo:headquarter ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),27213.0,206886.0,260.0,0.009554257156506082,4.618126483428595e-08,-5629988458.0,-208880.69992208658
49,frozenset({'?a dbo:location.dbo:isPartOf ?b'}),frozenset({'?a dbo:headquarter ?b'}),206886.0,27213.0,260.0,0.0012567307599354234,4.618126483428594e-08,-5629988458.0,-27246.241189395332
50,frozenset({'?a dbo:operator ?b'}),frozenset({'?a dbo:location.dbo:isPartOf ?b'}),8754.0,206886.0,198.0,0.022618231665524333,1.0932702872849943e-07,-1811079846.0,-211672.66129032258
