Assuming 9 as type relation
Loading files... 
  Starting wikidata.nt
  Finished wikidata.nt, still running: 0
Loaded 8396749 facts in 55.34 s using 27929 MB
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 32 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  <http://example.com/edition_P747>  ?a   => ?a  <http://example.com/edition_or_translation_of_P629>  ?b	0.754448399	0.963636364	0.995305164	212	220	213	-1
?b  <http://example.com/characters_P674>  ?a   => ?a  <http://example.com/from_narrative_or_fictional_universe_P1080>  ?b	0.214285714	0.066515065	0.469879518	117	1759	249	-1
?b  <http://example.com/astronomical_body_P397>  ?a   => ?a  <http://example.com/child_astronomical_body_P398>  ?b	1	0.883767535	1	441	499	441	-2
?b  <http://example.com/child_astronomical_body_P398>  ?a   => ?a  <http://example.com/astronomical_body_P397>  ?b	0.883767535	1	1	441	441	441	-1
?b  <http://example.com/belongs_to_jurisdiction_P1001>  ?a   => ?a  <http://example.com/legislative_body_P194>  ?b	0.298507463	0.092044707	0.277227723	140	1521	505	-1
?b  <http://example.com/member_of_political_party_P102>  ?a   => ?a  <http://example.com/chairperson_P488>  ?b	0.410027473	0.010126711	0.013633561	597	58953	43789	-1
?b  <http://example.com/from_narrative_or_fictional_universe_P1080>  ?a   => ?a  <http://example.com/characters_P674>  ?b	0.066515065	0.214285714	0.622340426	117	546	188	-1
?a  <http://example.com/series_P179>  ?b   => ?a  <http://example.com/characters_P674>  ?b	0.089255259	0.013619015	0.334754797	157	11528	469	-1
?b  <http://example.com/member_of_sports_team_P54>  ?a   => ?a  <http://example.com/team_manager_or_head_coach_P286>  ?b	0.13751946	0.001071443	0.00230533	265	247330	114951	-1
?a  <http://example.com/place_of_birth_P19>  ?b   => ?a  <http://example.com/residence_P551>  ?b	0.118937644	0.000339871	0.162460568	103	303056	634	-1
?b  <http://example.com/author_P50>  ?a   => ?a  <http://example.com/work_P800>  ?b	0.604651163	0.005492909	0.976525822	208	37867	213	-2
?a  <http://example.com/handedness_P552>  ?b   => ?a  <http://example.com/_OBSOLETE__playing_hand_P741>  ?b	0.064818589	0.418421053	0.99375	159	380	160	-1
?b  <http://example.com/parent_taxon_P171>  ?a   => ?a  <http://example.com/taxonomic_type_P427>  ?b	0.591639871	0.000661585	0.040052242	184	278120	4594	-1
?b  <http://example.com/ortholog_P684>  ?a   => ?a  <http://example.com/ortholog_P684>  ?b	0.995158687	0.995158687	0.999459751	1850	1859	1851	-1
?a  <http://example.com/alma_mater_P69>  ?b   => ?a  <http://example.com/employer_P108>  ?b	0.031096275	0.002337652	0.093011035	177	75717	1903	-1
?b  <http://example.com/adjacent_station_P197>  ?a   => ?a  <http://example.com/adjacent_station_P197>  ?b	0.917710197	0.917710197	0.933575978	10260	11180	10990	-2
?a  <http://example.com/author_P50>  ?b   => ?a  <http://example.com/illustrator_P110>  ?b	0.187040748	0.007394301	0.190605854	280	37867	1469	-1
?a  <http://example.com/producer_P162>  ?b   => ?a  <http://example.com/production_company_P272>  ?b	0.047353407	0.019868078	0.066672617	747	37598	11204	-1
?a  <http://example.com/director_P57>  ?b   => ?a  <http://example.com/production_company_P272>  ?b	0.011220285	0.002750497	0.014886459	177	64352	11890	-1
?b  <http://example.com/consists_of_P527>  ?a   => ?a  <http://example.com/member_of_P463>  ?b	0.05287022	0.084808563	0.871650212	618	7287	709	-1
?a  <http://example.com/discoverer_or_inventor_P61>  ?b   => ?a  <http://example.com/site_of_astronomical_discovery_P65>  ?b	0.020614611	0.015124769	0.017486085	377	24926	21560	-1
?b  <http://example.com/opposite_of_P461>  ?a   => ?a  <http://example.com/opposite_of_P461>  ?b	0.939947781	0.939947781	0.994475138	360	383	362	-2
?a  <http://example.com/performer_musical_artist_P175>  ?b   => ?a  <http://example.com/lyrics_by_P676>  ?b	0.356512714	0.011923875	0.3726607	1374	115231	3687	-1
?b  <http://example.com/twin_city_P190>  ?a   => ?a  <http://example.com/twin_city_P190>  ?b	0.408589669	0.408589669	0.541122214	1408	3446	2602	-2
?a  <http://example.com/named_after_P138>  ?b   => ?a  <http://example.com/located_in_place_P1134>  ?b	0.080851064	0.012119923	0.221789883	171	14109	771	-1
?a  <http://example.com/located_on_terrain_feature_P706>  ?b   => ?a  <http://example.com/located_in_place_P1134>  ?b	0.087943262	0.07187017	0.407894737	186	2588	456	-1
?b  <http://example.com/portal_s_main_topic_P1204>  ?a   => ?a  <http://example.com/topic_s_main_portal_P1151>  ?b	0.996705107	0.991803279	1	605	610	605	-1
?a  <http://example.com/cast_member_P161>  ?b   => ?a  <http://example.com/screenwriter_P58>  ?b	0.076939419	0.007884158	0.018831788	2173	275616	115390	-1
?a  <http://example.com/producer_P162>  ?b   => ?a  <http://example.com/screenwriter_P58>  ?b	0.074850405	0.056226395	0.146713859	2114	37598	14409	-1
?a  <http://example.com/director_P57>  ?b   => ?a  <http://example.com/screenwriter_P58>  ?b	0.329816238	0.144750746	0.474214733	9315	64352	19643	-1
?a  <http://example.com/director_of_photography_P344>  ?b   => ?a  <http://example.com/screenwriter_P58>  ?b	0.007258436	0.009200664	0.018417034	205	22281	11131	-1
?b  <http://example.com/spouse_P26>  ?a   => ?a  <http://example.com/spouse_P26>  ?b	0.948703316	0.948703316	0.99322889	14962	15771	15064	-1
?a  <http://example.com/distributor_P750>  ?b   => ?a  <http://example.com/developer_P178>  ?b	0.007894737	0.102040816	0.12962963	105	1029	810	-1
?a  <http://example.com/designer_P287>  ?b   => ?a  <http://example.com/developer_P178>  ?b	0.010827068	0.041201717	0.095936043	144	3495	1501	-1
?a  <http://example.com/publisher_P123>  ?b   => ?a  <http://example.com/developer_P178>  ?b	0.178120301	0.072241027	0.240239327	2369	32793	9861	-1
?a  <http://example.com/distributor_P750>  ?b   => ?a  <http://example.com/publisher_P123>  ?b	0.005062056	0.161321672	0.215025907	166	1029	772	-1
