Assuming 9 as type relation
Loading files... 
  Starting yago2core_facts.clean.notypes.tsv
  Finished yago2core_facts.clean.notypes.tsv, still running: 0
Loaded 948354 facts in 7.38 s using 9081 MB
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 32 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	0.089901478	0.018442105	0.162462908	219	11875	1348	-1
?b  <isLocatedIn>  ?a   => ?a  <hasCapital>  ?b	0.050023596	0.000497454	0.002087025	106	213085	50790	-1
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	0.033704342	0.014733091	0.313868613	215	14593	685	-1
?a  <created>  ?b   => ?a  <isKnownFor>  ?b	0.05137802	0.001508808	0.381313131	302	200158	792	-2
?b  <influences>  ?a   => ?a  <influences>  ?b	0.00874552	0.00874552	0.0130607	122	13950	9341	-2
?a  <actedIn>  ?b   => ?a  <produced>  ?b	0.043219667	0.008105973	0.018125883	872	107575	48108	-2
?a  <directed>  ?b   => ?a  <produced>  ?b	0.112559477	0.067845726	0.161890505	2271	33473	14028	-2
?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.044955388	0.044884534	0.365717476	655	14593	1791	-1
?a  <created>  ?b   => ?a  <produced>  ?b	0.100565028	0.010136992	0.129698287	2029	200158	15644	-2
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	0.014733091	0.033704342	0.144489247	215	6379	1488	-1
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	0.018296444	0.012050912	0.434146341	267	22156	615	-1
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	0.052970602	0.013812698	0.226952437	773	55963	3406	-1
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.018442105	0.089901478	0.162462908	219	2436	1348	-1
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	0.044884534	0.044955388	0.523581135	655	14570	1251	-1
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.530142583	0.530142583	0.917857658	6358	11993	6927	-2
?a  <produced>  ?b   => ?a  <directed>  ?b	0.067845726	0.112559477	0.13395069	2271	20176	16954	-2
?a  <actedIn>  ?b   => ?a  <directed>  ?b	0.028470708	0.008858936	0.011676346	953	107575	81618	-2
?a  <created>  ?b   => ?a  <directed>  ?b	0.187524273	0.031360225	0.228022377	6277	200158	27528	-2
?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	0.012050912	0.018296444	0.290533188	267	14593	919	-1
?a  <wasBornIn>  ?b   => ?a  <diedIn>  ?b	0.088463622	0.03502314	0.225313254	1960	55963	8699	-1
?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	0.013812698	0.052970602	0.171169176	773	14593	4516	-1
?a  <isLocatedIn>  ?b   => ?a  <diedIn>  ?b	0.01083228	0.001126311	0.16985138	240	213085	1413	-1
?a  <produced>  ?b   => ?a  <actedIn>  ?b	0.008105973	0.043219667	0.05210325	872	20176	16736	-2
?a  <directed>  ?b   => ?a  <actedIn>  ?b	0.008858936	0.028470708	0.036615822	953	33473	26027	-2
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0.03502314	0.088463622	0.225313254	1960	22156	8699	-1
?a  <isKnownFor>  ?b   => ?a  <created>  ?b	0.001508808	0.05137802	0.494271686	302	5878	611	-2
?a  <produced>  ?b   => ?a  <created>  ?b	0.010136992	0.100565028	0.156897618	2029	20176	12932	-2
?a  <directed>  ?b   => ?a  <created>  ?b	0.031360225	0.187524273	0.324644427	6277	33473	19335	-2
?a  <actedIn>  ?b   => ?a  <created>  ?b	0.005011041	0.009323728	0.016322479	1003	107575	61449	-2
?b  <hasCapital>  ?a   => ?a  <isLocatedIn>  ?b	0.000497454	0.050023596	0.154069767	106	2119	688	-1
?a  <created>  ?b   => ?a  <actedIn>  ?b	0.009323728	0.005011041	0.037334822	1003	200158	26865	-2
?a  <diedIn>  ?b   => ?a  <isLocatedIn>  ?b	0.001126311	0.01083228	0.16985138	240	22156	1413	-1
?a  <dealsWith>  ?h  ?h  <imports>  ?b   => ?a  <imports>  ?b	0.330357143	0.105815062	0.148793566	111	1049	746	-1
?b  <exports>  ?h  ?a  <imports>  ?h   => ?a  <dealsWith>  ?b	0.174165457	0.049958368	0.064136825	120	2402	1871	-1
?h  <dealsWith>  ?b  ?a  <dealsWith>  ?h   => ?a  <dealsWith>  ?b	0.666182874	0.281941032	0.281941032	459	1628	1628	-1
?g  <dealsWith>  ?a  ?g  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	0.387518142	0.154424523	0.217781403	267	1729	1226	-1
?a  <exports>  ?h  ?b  <exports>  ?h   => ?a  <dealsWith>  ?b	0.14658926	0.032083863	0.042118432	101	3148	2398	-1
?a  <imports>  ?h  ?b  <imports>  ?h   => ?a  <dealsWith>  ?b	0.249637155	0.031934645	0.041545894	172	5386	4140	-1
?a  <dealsWith>  ?h  ?b  <dealsWith>  ?h   => ?a  <dealsWith>  ?b	0.648766328	0.047695262	0.047695262	447	9372	9372	-1
?b  <hasCapital>  ?h  ?a  <livesIn>  ?h   => ?a  <isCitizenOf>  ?b	0.01379547	0.040837058	0.20700309	201	4922	971	-1
?h  <isLocatedIn>  ?b  ?a  <livesIn>  ?h   => ?a  <isPoliticianOf>  ?b	0.089041096	0.024672613	0.833333333	130	5269	156	-1
?a  <dealsWith>  ?h  ?h  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0.064582887	0.020569584	0.020569584	905	43997	43997	-2
?a  <participatedIn>  ?h  ?b  <participatedIn>  ?h   => ?a  <dealsWith>  ?b	0.352685051	0.012909738	0.058343337	243	18823	4165	-1
?a  <graduatedFrom>  ?h  ?b  <worksAt>  ?h   => ?a  <hasAcademicAdvisor>  ?b	0.051361068	0.000812711	0.007615566	100	123045	13131	-1
?g  <dealsWith>  ?a  ?g  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0.058374367	0.03884325	0.03884325	818	21059	21059	-2
?a  <diedIn>  ?h  ?b  <hasCapital>  ?h   => ?a  <isCitizenOf>  ?b	0.047220316	0.027699493	0.180577428	688	24838	3810	-1
?a  <isMarriedTo>  ?h  ?h  <produced>  ?b   => ?a  <produced>  ?b	0.005600714	0.035590551	0.035590551	113	3175	3175	-2
?g  <isMarriedTo>  ?a  ?g  <produced>  ?b   => ?a  <produced>  ?b	0.005600714	0.029411765	0.029411765	113	3842	3842	-2
?h  <hasChild>  ?b  ?a  <isMarriedTo>  ?h   => ?a  <hasChild>  ?b	0.318909563	0.561139028	0.561139028	3685	6567	6567	-2
?a  <influences>  ?h  ?h  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.01002059	0.105643994	0.519572954	146	1382	281	-1
?g  <hasChild>  ?b  ?g  <isMarriedTo>  ?a   => ?a  <hasChild>  ?b	0.318390307	0.575653262	0.575653262	3679	6391	6391	-2
?a  <influences>  ?h  ?b  <influences>  ?h   => ?a  <influences>  ?b	0.135268817	0.028122625	0.043576658	1887	67099	43303	-2
?a  <diedIn>  ?h  ?h  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.247945205	0.027014925	0.853773585	362	13400	424	-1
?b  <hasCapital>  ?h  ?a  <livesIn>  ?h   => ?a  <livesIn>  ?b	0.045501268	0.13490451	0.13490451	664	4922	4922	-1
?a  <actedIn>  ?b  ?a  <directed>  ?b   => ?a  <produced>  ?b	0.008624108	0.182581322	0.406542056	174	953	428	-2
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <produced>  ?b	0.010259715	0.206380857	0.389830508	207	1003	531	-2
?g  <influences>  ?a  ?g  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.009814688	0.124347826	0.493103448	143	1150	290	-1
?b  <hasCapital>  ?h  ?a  <wasBornIn>  ?h   => ?a  <isCitizenOf>  ?b	0.06698696	0.024926574	0.198172589	976	39155	4925	-1
?a  <livesIn>  ?h  ?b  <livesIn>  ?h   => ?a  <hasChild>  ?b	0.011423626	0.000202995	0.007224168	132	650262	18272	-2
?h  <influences>  ?b  ?a  <influences>  ?h   => ?a  <influences>  ?b	0.177419355	0.042555021	0.042555021	2475	58160	58160	-2
?b  <hasCapital>  ?h  ?a  <isLocatedIn>  ?h   => ?a  <isCitizenOf>  ?b	0.009814688	0.003625577	0.184993532	143	39442	773	-1
?b  <isLocatedIn>  ?h  ?a  <isPoliticianOf>  ?h   => ?a  <livesIn>  ?b	0.009045433	0.000148338	0.002176709	132	889862	60642	-1
?h  <isLocatedIn>  ?b  ?a  <livesIn>  ?h   => ?a  <isCitizenOf>  ?b	0.014138641	0.039096603	0.481308411	206	5269	428	-1
?g  <hasCapital>  ?b  ?a  <livesIn>  ?g   => ?a  <livesIn>  ?b	0.045021586	0.185331453	0.185331453	657	3545	3545	-1
?g  <influences>  ?a  ?g  <influences>  ?b   => ?a  <influences>  ?b	0.180430108	0.015739316	0.015739316	2517	159918	159918	-2
?a  <isMarriedTo>  ?h  ?h  <livesIn>  ?b   => ?a  <livesIn>  ?b	0.012403207	0.337057728	0.698841699	181	537	259	-1
?a  <hasChild>  ?h  ?h  <livesIn>  ?b   => ?a  <livesIn>  ?b	0.007949017	0.251082251	0.620320856	116	462	187	-1
?b  <isLocatedIn>  ?h  ?a  <livesIn>  ?h   => ?a  <isLeaderOf>  ?b	0.016773789	0.000033723	0.000783515	107	3172924	136564	-1
