Assuming 9 as type relation
Loading files... 
  Starting yago2s.tsv
  Finished yago2s.tsv, still running: 0
Loaded 4122426 facts in 40.77 s using 33699 MB
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 32 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  <isLocatedIn>  ?a   => ?a  <hasCapital>  ?b	0.318331504	0.00049129	0.001478841	580	1180566	392199	-1
?a  <directed>  ?b   => ?a  <edited>  ?b	0.026010545	0.003729275	0.028788174	148	39686	5141	-2
?a  <livesIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.027473993	0.003442974	0.237327189	103	29916	434	-1
?a  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	0.114086147	0.018645358	0.172961525	490	26280	2833	-1
?b  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.086748694	0.065189916	0.07824976	980	15033	12524	-1
?b  <happenedIn>  ?a   => ?a  <participatedIn>  ?b	0.065189916	0.086748694	0.101491301	980	11297	9656	-2
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	0.045896657	0.015142399	0.298812665	453	29916	1516	-1
?a  <isAffiliatedTo>  ?b   => ?a  <isLeaderOf>  ?b	0.021175279	0.000497792	0.065435191	209	419854	3194	-1
?a  <wasBornIn>  ?b   => ?a  <isLeaderOf>  ?b	0.019554205	0.001194632	0.1321013	193	161556	1461	-1
?a  <directed>  ?b   => ?a  <wroteMusicFor>  ?b	0.01242236	0.007004989	0.017881263	278	39686	15547	-2
?a  <actedIn>  ?b   => ?a  <wroteMusicFor>  ?b	0.006255865	0.001160939	0.002206601	140	120592	63446	-2
?a  <created>  ?b   => ?a  <wroteMusicFor>  ?b	0.05692837	0.004879319	0.079466068	1274	261102	16032	-2
?b  <influences>  ?a   => ?a  <influences>  ?b	0.010626809	0.010626809	0.0149936	246	23149	16407	-2
?a  <created>  ?b   => ?a  <owns>  ?b	0.01700577	0.001501329	0.216934145	392	261102	1807	-2
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.018645358	0.114086147	0.173083716	490	4295	2831	-1
?b  <isConnectedTo>  ?a   => ?a  <isConnectedTo>  ?b	0.19471402	0.19471402	0.223530341	5658	29058	25312	-2
?b  <isLocatedIn>  ?a   => ?a  <owns>  ?b	0.030888031	0.000603101	0.048713738	712	1180566	14616	-2
?a  <edited>  ?b   => ?a  <directed>  ?b	0.003729275	0.026010545	0.029133858	148	5690	5080	-2
?a  <wroteMusicFor>  ?b   => ?a  <directed>  ?b	0.007004989	0.01242236	0.016590082	278	22379	16757	-2
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	0.003442974	0.027473993	0.342192691	103	3749	301	-1
