,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a http://example.com/diedIn ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/hasCapital ?b'}),45021.0,9433.0,161.0,0.0035761089269452035,3.7910621509013076e-07,-424682932.0,-9465.850913954524
1,frozenset({'?a http://example.com/livesIn.http://example.com/hasCapital ?b'}),frozenset({'?a http://example.com/diedIn ?b'}),9433.0,45021.0,161.0,0.017067740909572776,3.7910621509013076e-07,-424682932.0,-45801.73209663503
2,frozenset({'?a http://example.com/wasBornIn ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/hasCapital ?b'}),161556.0,9433.0,353.0,0.002185000866572582,2.3163371849598025e-07,-1523957395.0,-9452.654057306625
3,frozenset({'?a http://example.com/livesIn.http://example.com/hasCapital ?b'}),frozenset({'?a http://example.com/wasBornIn ?b'}),9433.0,161556.0,353.0,0.03742181702533658,2.3163371849598023e-07,-1523957395.0,-167835.7175110132
4,frozenset({'?a http://example.com/livesIn ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/hasCapital ?b'}),29916.0,9433.0,1375.0,0.04596202700895842,4.872471855078811e-06,-282196253.0,-9886.398934865632
5,frozenset({'?a http://example.com/livesIn.http://example.com/hasCapital ?b'}),frozenset({'?a http://example.com/livesIn ?b'}),9433.0,29916.0,1375.0,0.14576486801653768,4.87247185507881e-06,-282196253.0,-35019.63204269049
6,frozenset({'?a http://example.com/participatedIn.http://example.com/happenedIn ?b'}),frozenset({'?a http://example.com/isLocatedIn ?b'}),15136.0,1180578.0,204.0,0.013477801268498943,1.1416273442753416e-08,-17869228404.0,-1196705.9651754622
7,frozenset({'?a http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/participatedIn.http://example.com/happenedIn ?b'}),1180578.0,15136.0,204.0,0.00017279671482951572,1.1416273442753418e-08,-17869228404.0,-15137.615730268542
8,frozenset({'?b http://example.com/participatedIn.http://example.com/happenedIn ?a'}),frozenset({'?a http://example.com/isLocatedIn ?b'}),15136.0,1180578.0,675.0,0.04459566596194503,3.777443418558116e-08,-17869227933.0,-1235683.111264781
9,frozenset({'?a http://example.com/isLocatedIn ?b'}),frozenset({'?b http://example.com/participatedIn.http://example.com/happenedIn ?a'}),1180578.0,15136.0,675.0,0.0005717538358329564,3.777443418558116e-08,-17869227933.0,-15143.658444804361
10,frozenset({'?a http://example.com/dealsWith ?b'}),frozenset({'?b http://example.com/participatedIn.http://example.com/happenedIn ?a'}),882.0,15136.0,142.0,0.16099773242630386,1.0636742364317115e-05,-13349810.0,-18039.283783783783
11,frozenset({'?b http://example.com/participatedIn.http://example.com/happenedIn ?a'}),frozenset({'?a http://example.com/dealsWith ?b'}),15136.0,882.0,142.0,0.009381606765327696,1.0636742364317115e-05,-13349810.0,-889.343470721622
12,frozenset({'?a http://example.com/isLeaderOf.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isCitizenOf ?b'}),11175.0,43561.0,354.0,0.03167785234899329,7.272067296203781e-07,-486793821.0,-44985.02911006377
13,frozenset({'?a http://example.com/isCitizenOf ?b'}),frozenset({'?a http://example.com/isLeaderOf.http://example.com/isLocatedIn ?b'}),43561.0,11175.0,354.0,0.008126535203507725,7.272067296203781e-07,-486793821.0,-11265.54988774967
14,frozenset({'?a http://example.com/isLeaderOf.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isLeaderOf ?b'}),11175.0,9870.0,279.0,0.024966442953020133,2.5295281614002164e-06,-110296971.0,-10121.702918502202
15,frozenset({'?a http://example.com/isLeaderOf ?b'}),frozenset({'?a http://example.com/isLeaderOf.http://example.com/isLocatedIn ?b'}),9870.0,11175.0,279.0,0.028267477203647418,2.5295281614002164e-06,-110296971.0,-11499.049108539255
16,frozenset({'?a http://example.com/isLeaderOf.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/livesIn ?b'}),11175.0,29916.0,493.0,0.044116331096196865,1.4746734555487653e-06,-334310807.0,-31295.64922299195
17,frozenset({'?a http://example.com/livesIn ?b'}),frozenset({'?a http://example.com/isLeaderOf.http://example.com/isLocatedIn ?b'}),29916.0,11175.0,493.0,0.016479475865757456,1.4746734555487655e-06,-334310807.0,-11361.227067260306
18,frozenset({'?a http://example.com/hasChild.http://example.com/isAffiliatedTo ?b'}),frozenset({'?a http://example.com/isAffiliatedTo ?b'}),755.0,419854.0,274.0,0.3629139072847682,8.643812070023584e-07,-316989496.0,-659020.8212058212
